tokens	ner_tags	lang	text
['Für', 'die', 'Musik', 'zeichnete', 'Terence', 'Blanchard', 'verantwortlich', '.']	[0, 0, 0, 0, 1, 2, 0, 0]	de	Für die Musik zeichnete Terence Blanchard verantwortlich.
"['Die', ""Poincaré'sche"", 'Halbebene', 'H', '(', 'Henri', 'Poincaré', ')', 'ist', 'ein', 'Modell', 'für', 'ein', 'solches', 'Axiomensystem', ',', 'in', 'dem', 'das', 'Parallelenaxiom', 'nicht', 'gilt', '.']"	[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	de	Die Poincaré'sche Halbebene H (Henri Poincaré) ist ein Modell für ein solches Axiomensystem, in dem das Parallelenaxiom nicht gilt.
['Neue', 'Brücken', 'über', 'die', 'Themse', 'ermöglichten', 'die', 'Ausbreitung', 'der', 'Stadt', 'nach', 'Süden', '.']	[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]	de	Neue Brücken über die Themse ermöglichten die Ausbreitung der Stadt nach Süden.
['November', 'erhielt', 'er', 'einen', 'Vertrag', 'um', 'die', 'Mannschaft', 'des', 'Fortaleza', 'EC', 'ab', 'der', 'Saison', '2018', 'zu', 'trainieren', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0]	de	November erhielt er einen Vertrag um die Mannschaft des Fortaleza EC ab der Saison 2018 zu trainieren.
['Als', 'deren', 'bauliches', 'Vorbild', 'gilt', 'die', 'Umayyaden-Moschee', 'in', 'Damaskus', '.']	[0, 0, 0, 0, 0, 0, 5, 0, 5, 0]	de	Als deren bauliches Vorbild gilt die Umayyaden-Moschee in Damaskus.
"['Möglicherweise', 'entwickelte', 'er', 'sich', 'aus', 'dem', 'älteren', '""', 'Equus', 'oldowayensis', '""', 'Ostafrikas', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	de	"Möglicherweise entwickelte er sich aus dem älteren ""Equus oldowayensis"" Ostafrikas."
['Er', 'steht', 'in', 'der', 'jordanischen', 'Hauptstadt', 'Amman', 'und', 'wurde', '2003', 'fertiggestellt', '.']	[0, 0, 0, 0, 7, 0, 5, 0, 0, 0, 0, 0]	de	Er steht in der jordanischen Hauptstadt Amman und wurde 2003 fertiggestellt.
['Von', '2012', 'bis', '2016', 'war', 'er', 'in', 'dieser', 'Funktion', 'beim', 'OGC', 'Nizza', 'tätig', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0]	de	Von 2012 bis 2016 war er in dieser Funktion beim OGC Nizza tätig.
['Mittelamerika', 'wird', 'im', 'Allgemeinen', 'nicht', 'als', 'eigenständiger', 'Kontinent', 'aufgefasst', ',', 'sondern', 'zum', 'Großteil', 'als', 'zu', 'Nordamerika', 'gehörig', 'angesehen', '.']	[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]	de	Mittelamerika wird im Allgemeinen nicht als eigenständiger Kontinent aufgefasst, sondern zum Großteil als zu Nordamerika gehörig angesehen.
['Stattdessen', 'wurde', 'der', 'Seeweg', 'zwischen', 'Flandern', 'und', 'Italien', 'bevorzugt', '.']	[0, 0, 0, 0, 0, 5, 0, 5, 0, 0]	de	Stattdessen wurde der Seeweg zwischen Flandern und Italien bevorzugt.
