tokens	ner_tags	lang	text
"[""C'"", 'est', 'durant', 'cette', 'période', ""qu'"", 'un', 'ami', 'leur', 'suggère', 'le', 'nom', 'du', 'groupe', '""', 'Dire', 'Straits', '""', ':', '""', 'to', 'be', 'in', 'dire', 'straits', '""', 'signifie', '«', 'être', 'raide', 'fauché', '»', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	fr	"C'est durant cette période qu'un ami leur suggère le nom du groupe ""Dire Straits"" : ""to be in dire straits"" signifie « être raide fauché »."
['Après', 'avoir', 'produit', 'des', 'pages', 'pour', 'divers', 'éditeurs', ',', 'il', 'arrive', 'en', '1949', 'chez', 'EC', 'Comics', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0]	fr	Après avoir produit des pages pour divers éditeurs, il arrive en 1949 chez EC Comics.
"['Il', 'est', 'évoqué', 'dans', 'le', '187', 'des', '480', 'souvenirs', 'cités', 'par', 'Georges', 'Perec', ',', 'dans', 'son', 'texte', '""', 'Je', 'me', 'souviens', '""', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	fr	"Il est évoqué dans le 187 des 480 souvenirs cités par Georges Perec, dans son texte ""Je me souviens""."
"['Elle', 'est', 'ensuite', 'apparu', 'en', 'tant', ""qu'"", 'actrice', 'de', 'soutien', 'dans', 'la', 'série', 'Drop', 'Dead', 'Diva', ',', 'qui', 'a', 'débuté', 'en', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0]	fr	Elle est ensuite apparu en tant qu'actrice de soutien dans la série Drop Dead Diva, qui a débuté en.
"['Soixante', ""d'"", 'entre', 'eux', 'remontent', 'la', 'rivière', 'Boyne', ',', 'les', 'soixante', 'autres', 'la', 'rivière', 'Liffey', '.']"	[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0]	fr	Soixante d'entre eux remontent la rivière Boyne, les soixante autres la rivière Liffey.
['Un', 'emplacement', 'spécial', 'et', 'gratuit', 'est', 'concédé', 'pour', 'les', 'soldats', 'allemands', 'décédés', 'à', 'Genève', 'pendant', 'la', 'Première', 'Guerre', 'mondiale', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 7, 8, 8, 0]	fr	Un emplacement spécial et gratuit est concédé pour les soldats allemands décédés à Genève pendant la Première Guerre mondiale.
"['La', 'même', 'année', ',', 'elle', 'publie', 'également', '""', 'Essai', 'sur', 'la', 'révolution', '""', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0]	fr	"La même année, elle publie également ""Essai sur la révolution""."
"['Ce', ""n'"", 'est', 'que', 'dans', 'les', 'dernières', 'décennies', 'du', 'que', 'Łódź', 'devient', 'le', '«', 'Manchester', 'de', ""l'"", 'empire', 'russe', '»', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]	fr	Ce n'est que dans les dernières décennies du que Łódź devient le « Manchester de l'empire russe ».
"['Mais', ',', 'à', 'la', 'suite', 'du', 'retrait', '(', 'annoncé', 'en', '2005', ')', 'de', ""Jun'"", 'ichirō', 'Koizumi', 'en', ',', 'se', 'pose', 'alors', 'la', 'question', 'de', 'sa', 'succession', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	fr	Mais, à la suite du retrait (annoncé en 2005) de Jun'ichirō Koizumi en, se pose alors la question de sa succession.
"['Il', 'commence', 'sa', 'carrière', 'en', 'jouant', 'dans', ""l'"", 'équipe', 'de', 'sa', 'ville', 'et', 'en', '2001', ',', 'il', 'fait', 'ses', 'débuts', 'dans', 'la', '""', 'Ligue', 'de', 'hockey', 'de', ""l'"", 'Ouest', '""', 'en', 'jouant', 'pour', 'les', 'Hitmen', 'de', 'Calgary', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 3, 4, 4, 0]	fr	"Il commence sa carrière en jouant dans l'équipe de sa ville et en 2001, il fait ses débuts dans la ""Ligue de hockey de l'Ouest"" en jouant pour les Hitmen de Calgary."
