tokens	ner_tags	lang	text
['Finalmente', ',', 'a', 'separação', 'entre', 'a', 'religião', '(', 'mais', 'uma', 'vez', ',', 'especificamente', 'o', 'catolicismo', ')', 'e', 'do', 'Estado', 'é', 'encontrada', 'em', 'grande', 'parte', 'na', 'França', 'e', 'Itália', ',', 'países', 'onde', 'o', 'Estado', 'se', 'opôs-se', 'à', 'autoridade', 'da', 'Igreja', 'Católica', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 4, 0]	pt	Finalmente, a separação entre a religião (mais uma vez, especificamente o catolicismo) e do Estado é encontrada em grande parte na França e Itália, países onde o Estado se opôs-se à autoridade da Igreja Católica.
['Pode', 'ser', 'encontrada', 'nos', 'seguintes', 'países', ':', 'Angola', ',', 'Benin', ',', 'Botswana', ',', 'Burkina', 'Faso', ',', 'Burundi', ',', 'Camarões', ',', 'República', 'Centro-Africana', ',', 'Chade', ',', 'República', 'do', 'Congo', ',', 'República', 'Democrática', 'do', 'Congo', ',', 'Costa', 'do', 'Marfim', ',', 'Guiné', 'Equatorial', ',', 'Etiópia', ',', 'Gabão', ',', 'Gana', ',', 'Guiné', ',', 'Guiné-Bissau', ',', 'Quénia', ',', 'Lesoto', ',', 'Malawi', ',', 'Mali', ',', 'Mauritânia', ',', 'Moçambique', ',', 'Namíbia', ',', 'Níger', ',', 'Nigéria', ',', 'Ruanda', ',', 'Senegal', ',', 'Serra', 'Leoa', ',', 'Somália', ',', 'África', 'do', 'Sul', ',', 'Sudão', ',', 'Suazilândia', ',', 'Tanzânia', ',', 'Togo', ',', 'Uganda', ',', 'Zâmbia', 'e', 'Zimbabwe', '.']	[0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 6, 0, 5, 0, 5, 0, 5, 6, 0, 5, 0, 5, 6, 6, 0, 5, 6, 6, 6, 0, 5, 6, 6, 0, 5, 6, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 6, 0, 5, 0, 5, 6, 6, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0, 5, 0]	pt	Pode ser encontrada nos seguintes países: Angola, Benin, Botswana, Burkina Faso, Burundi, Camarões, República Centro-Africana, Chade, República do Congo, República Democrática do Congo, Costa do Marfim, Guiné Equatorial, Etiópia, Gabão, Gana, Guiné, Guiné-Bissau, Quénia, Lesoto, Malawi, Mali, Mauritânia, Moçambique, Namíbia, Níger, Nigéria, Ruanda, Senegal, Serra Leoa, Somália, África do Sul, Sudão, Suazilândia, Tanzânia, Togo, Uganda, Zâmbia e Zimbabwe.
['Localiza-se', 'na', 'costa', ',', 'frente', 'ao', 'arquipélago', 'de', 'Bazaruto', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	pt	Localiza-se na costa, frente ao arquipélago de Bazaruto.
['Os', 'portugueses', 'constituíram', 'bases', 'em', 'Goa', ',', 'Damão', ',', 'Diu', 'e', 'Bombaim', ',', 'dentre', 'outras', '.']	[0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0]	pt	Os portugueses constituíram bases em Goa, Damão, Diu e Bombaim, dentre outras.
"['Os', 'desenhos', '""', 'expressam', 'a', 'refinada', 'elegância', 'e', 'sofisticação', 'que', 'representam', 'o', 'Japão', '""', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]	pt	"Os desenhos ""expressam a refinada elegância e sofisticação que representam o Japão""."
['Após', 'a', 'morte', 'de', 'John', 'Glenn', 'em', 'dezembro', 'de', '2016', ',', 'ele', 'se', 'tornou', 'o', 'mais', 'idoso', 'astronauta', 'ainda', 'vivo', '.']	[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	Após a morte de John Glenn em dezembro de 2016, ele se tornou o mais idoso astronauta ainda vivo.
['Em', '1760', ',', 'uma', 'coluna', 'ligeira', 'russa', 'ocupou', 'Berlim', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	pt	Em 1760, uma coluna ligeira russa ocupou Berlim.
['D', 'em', 'ciências', 'comportamentais', 'pela', 'Universidade', 'de', 'Maryland', '.']	[0, 0, 0, 0, 0, 5, 6, 6, 0]	pt	D em ciências comportamentais pela Universidade de Maryland.
['Ele', 'usa', 'sua', 'genialidade', 'científica', 'para', 'construir', 'uma', 'máquina', 'de', 'clonagem', 'e', 'cria', 'a', 'garota', 'perfeita', '(', 'interpretada', 'por', 'Eva', 'Mendes', ')', ',', 'mas', 'ela', 'fica', 'com', 'outra', 'pessoa', 'em', 'uma', 'festa', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	Ele usa sua genialidade científica para construir uma máquina de clonagem e cria a garota perfeita (interpretada por Eva Mendes), mas ela fica com outra pessoa em uma festa.
['Kwame', 'Nkrumah', ',', 'Ahmed', 'Sékou', 'Touré', 'e', 'Modibo', 'Keïta', 'foram', 'figuras', 'anti-coloniais', 'cruciais', 'em', 'seus', 'países', 'e', 'seus', 'primeiros', 'líderes', 'após', 'a', 'independência', '.']	[1, 2, 0, 1, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	Kwame Nkrumah, Ahmed Sékou Touré e Modibo Keïta foram figuras anti-coloniais cruciais em seus países e seus primeiros líderes após a independência.
"['Em', 'novembro', ',', 'lançaram', 'o', 'compacto', '""', 'I', 'Feel', 'Fine', '""', 'e', 'no', 'mês', 'seguinte', 'o', 'grupo', 'lançou', 'seu', 'quarto', 'álbum', ':', '""', 'Beatles', 'for', 'Sale', '""', '.']"	[0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0]	pt	"Em novembro, lançaram o compacto ""I Feel Fine"" e no mês seguinte o grupo lançou seu quarto álbum: ""Beatles for Sale""."
['após', 'uma', 'espera', 'de', 'diversos', ',', 'durante', 'os', 'quais', 'ele', '[', 'Calígula', ']', 'alimentou', 'a', 'esperança', 'de', 'que', 'ele', 'viesse', ',', '[', 'ela', 'foi', 'finalmente', ']', 'sepultada', 'por', 'que', 'a', 'condição', 'do', 'cadáver', 'fê-lo', 'necessário', '...']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	após uma espera de diversos, durante os quais ele [Calígula] alimentou a esperança de que ele viesse, [ela foi finalmente] sepultada por que a condição do cadáver fê-lo necessário...
['Naquele', 'ocasião', 'o', 'Chile', 'foi', 'vice-campeão', '.']	[0, 0, 0, 5, 0, 0, 0]	pt	Naquele ocasião o Chile foi vice-campeão.
['Durante', 'essa', 'história', 'o', 'papel', 'foi', 'então', 'assumido', 'por', 'John', 'Simm', 'que', 'retornou', 'ao', 'papel', 'várias', 'vezes', 'durante', 'a', 'era', 'do', 'Décimo', 'Doutor', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	pt	Durante essa história o papel foi então assumido por John Simm que retornou ao papel várias vezes durante a era do Décimo Doutor.
['Existe', ',', 'ainda', ',', 'uma', 'ferramenta', 'de', 'instalação', 'de', 'bibliotecas', ',', 'chamada', 'RubyGems', ',', 'semelhante', 'aos', 'gerenciadores', 'de', 'pacotes', 'do', 'Linux', ',', 'como', 'o', 'APT', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 0]	pt	Existe, ainda, uma ferramenta de instalação de bibliotecas, chamada RubyGems, semelhante aos gerenciadores de pacotes do Linux, como o APT.
['Foi', 'a', 'última', 'participação', 'de', 'Googie', 'Withers', 'no', 'cinema', '.']	[0, 0, 0, 0, 0, 1, 2, 0, 0, 0]	pt	Foi a última participação de Googie Withers no cinema.
['Naquela', 'noite', ',', 'eles', 'foram', 'para', 'sua', 'casa', 'e', 'o', 'convenceram', 'a', 'trabalhar', 'com', 'elas', ',', 'o', 'resto', 'do', 'grupo', 'viajou', 'para', 'Sheffield', 'no', 'dia', 'seguinte', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]	pt	Naquela noite, eles foram para sua casa e o convenceram a trabalhar com elas, o resto do grupo viajou para Sheffield no dia seguinte.
['Este', 'prédio', 'de', '180', 'apartamentos', 'tem', 'em', 'seu', 'terraço', 'um', 'restaurante', 'panorâmico', 'que', 'tem', 'a', 'particularidade', 'de', 'girar', '360', '°', ',', 'permitindo', 'a', 'observação', 'de', 'todo', 'o', 'panorama', '(', 'Jura', ',', 'Floresta', 'Negra', ',', 'Alpes', 'suíços', ')', 'durante', 'a', 'refeição', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 0, 5, 0, 0, 0, 0, 0, 0]	pt	Este prédio de 180 apartamentos tem em seu terraço um restaurante panorâmico que tem a particularidade de girar 360 °, permitindo a observação de todo o panorama (Jura, Floresta Negra, Alpes suíços) durante a refeição.
['A', 'expressão', 'se', 'tornou', 'mais', 'comum', 'durante', 'a', 'Guerra', 'Fria', 'e', 'passou', 'a', 'ser', 'usada', 'tanto', 'por', 'políticos', 'de', 'esquerda', ',', 'como', 'de', 'direita', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	A expressão se tornou mais comum durante a Guerra Fria e passou a ser usada tanto por políticos de esquerda, como de direita.
['Em', '1881', ',', 'a', 'Ilha', 'de', 'Man', 'tornou-se', 'no', 'primeiro', 'território', 'a', 'dar', 'acesso', 'ao', 'voto', 'às', 'mulheres', 'nas', 'eleições', 'nacionais', '.']	[0, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	Em 1881, a Ilha de Man tornou-se no primeiro território a dar acesso ao voto às mulheres nas eleições nacionais.
"['Joss', 'Whedon', 'também', 'expressou', 'que', 'desaprova', 'a', 'interpretação', 'do', 'filme', 'de', 'seu', 'script', ',', 'dizendo', ':', '""', 'Eu', 'finalmente', 'sentei', 'e', 'escrevi', 'o', 'roteiro', 'e', 'alguém', 'o', 'transformou', 'em', 'filme', ',', 'e', 'eu', 'senti', 'tipo', ',', 'bem', ',', 'ela', 'não', 'era', 'do', 'jeito', 'que', 'pensava', '.']"	[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	"Joss Whedon também expressou que desaprova a interpretação do filme de seu script, dizendo: ""Eu finalmente sentei e escrevi o roteiro e alguém o transformou em filme, e eu senti tipo, bem, ela não era do jeito que pensava."
['Mesmo', 'após', 'a', 'situação', 'ser', 'praticamente', 'esquecida', ',', 'o', 'G-Unit', 'criticou', 'as', 'atitudes', 'de', 'Game', 'e', 'anunciou', 'que', 'não', 'iria', 'mais', 'participar', 'nos', 'próximos', 'álbuns', 'que', 'ele', 'lançasse', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	Mesmo após a situação ser praticamente esquecida, o G-Unit criticou as atitudes de Game e anunciou que não iria mais participar nos próximos álbuns que ele lançasse.
['O', 'filme', 'teve', 'boas', 'estreias', 'na', 'Hungria', ',', 'Dinamarca', ',', 'República', 'Checa', ',', 'Eslováquia', 'e', 'Nova', 'Zelândia', '.']	[0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 6, 0, 5, 0, 5, 6, 0]	pt	O filme teve boas estreias na Hungria, Dinamarca, República Checa, Eslováquia e Nova Zelândia.
[',', 'responder', 'sua', 'própria', 'pergunta', 'e', 'logo', 'depois', 'expressar', 'seu', 'desejo', 'por', 'ser', 'um', 'pássaro', ',', 'além', 'de', 'afirmar', 'ser', 'o', 'pai', 'de', 'uma', 'garota', 'humana', ',', 'é', 'de', 'uma', 'aleatoriedade', 'tão', 'grande', 'que', 'se', 'tornou', 'notoriamente', 'cômica', ',', 'especialmente', 'para', 'o', 'público', 'ocidental', ',', 'juntamente', 'com', 'a', 'expressão', 'de', 'surpresa', 'da', 'Osaka', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	pt	, responder sua própria pergunta e logo depois expressar seu desejo por ser um pássaro, além de afirmar ser o pai de uma garota humana, é de uma aleatoriedade tão grande que se tornou notoriamente cômica, especialmente para o público ocidental, juntamente com a expressão de surpresa da Osaka.
['O', 'multirracialismo', ',', 'uma', 'das', 'principais', 'razões', 'para', 'sua', 'separação', 'da', 'Malásia', ',', 'está', 'consagrado', 'na', 'constituição', 'do', 'país', 'desde', 'a', 'independência', 'e', 'continua', 'a', 'moldar', 'as', 'principais', 'políticas', 'nacionais', 'em', 'educação', ',', 'habitação', ',', 'política', 'e', 'outras', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	O multirracialismo, uma das principais razões para sua separação da Malásia, está consagrado na constituição do país desde a independência e continua a moldar as principais políticas nacionais em educação, habitação, política e outras.
['Foi', 'extinta', 'em', '2013', ',', 'no', 'âmbito', 'de', 'uma', 'reforma', 'administrativa', 'nacional', ',', 'tendo', 'sido', 'agregada', 'à', 'freguesia', 'de', 'Carrazedo', ',', 'para', 'formar', 'uma', 'nova', 'freguesia', 'denominada', 'União', 'das', 'Freguesias', 'de', 'Castrelos', 'e', 'Carrazedo', 'da', 'qual', 'é', 'a', 'sede', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0]	pt	Foi extinta em 2013, no âmbito de uma reforma administrativa nacional, tendo sido agregada à freguesia de Carrazedo, para formar uma nova freguesia denominada União das Freguesias de Castrelos e Carrazedo da qual é a sede.
['Seguindo', 'a', 'retirada', 'soviética', 'do', 'Afeganistão', ',', 'Osama', 'Bin', 'Laden', 'retorna', 'para', 'a', 'Arábia', 'Saudita', '.']	[0, 0, 0, 0, 0, 5, 0, 1, 2, 2, 0, 0, 0, 5, 6, 0]	pt	Seguindo a retirada soviética do Afeganistão, Osama Bin Laden retorna para a Arábia Saudita.
"['As', 'apresentações', 'foram', 'realizadas', 'em', 'Paris', 'entre', '1976', 'e', '1977', ',', 'durante', 'a', 'turnê', 'de', 'suporte', 'à', '""', 'A', 'Trick', 'of', 'the', 'Tail', '""', 'e', '""', 'Wind', '&', 'Wuthering', ',', '""', 'embora', 'deste', 'último', 'só', 'tenha', 'sido', 'incluída', 'uma', 'faixa', '.']"	[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	"As apresentações foram realizadas em Paris entre 1976 e 1977, durante a turnê de suporte à ""A Trick of the Tail"" e ""Wind & Wuthering,"" embora deste último só tenha sido incluída uma faixa."
['Além', 'disso', ',', 'foi', 'duas', 'vezes', 'campeão', 'da', 'NBA', 'jogando', 'pelo', 'Los', 'Angeles', 'Lakers', 'em', '1982', 'e', '1985', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0]	pt	Além disso, foi duas vezes campeão da NBA jogando pelo Los Angeles Lakers em 1982 e 1985.
['O', 'antigo', 'filósofo', 'judeu', 'Fílon', 'de', 'Alexandria', 'descreve', 'um', 'ataque', 'aos', 'judeus', 'em', 'Alexandria', 'em', ',', 'no', 'qual', 'milhares', 'de', 'judeus', 'morreram', '.']	[0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	O antigo filósofo judeu Fílon de Alexandria descreve um ataque aos judeus em Alexandria em, no qual milhares de judeus morreram.
['Após', 'o', 'sucesso', 'dos', 'Jogos', 'Asiáticos', ',', 'Doha', 'foi', 'postulante', 'a', 'candidata', 'para', 'os', 'Jogos', 'Olímpicos', 'de', 'Verão', 'de', '2016', ',', 'mas', 'foi', 'eliminada', 'em', 'agosto', 'de', '2008', '.']	[0, 0, 0, 0, 7, 8, 0, 5, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	Após o sucesso dos Jogos Asiáticos, Doha foi postulante a candidata para os Jogos Olímpicos de Verão de 2016, mas foi eliminada em agosto de 2008.
['Também', 'bateu', 'recordes', 'de', 'streaming', 'sendo', 'a', 'música', 'mais', 'tocada', 'na', 'rádio', 'americana', 'em', 'menos', 'de', '1', 'mês', ',', 'superando', 'California', 'Gurls', 'que', 'obtinha', 'esse', 'mérito', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0]	pt	Também bateu recordes de streaming sendo a música mais tocada na rádio americana em menos de 1 mês, superando California Gurls que obtinha esse mérito.
['Uma', 'reunião', 'de', 'acompanhamento', 'em', 'Hanói', ',', 'em', 'fevereiro', 'de', '2019', ',', 'terminou', 'abruptamente', 'sem', 'um', 'acordo', '.']	[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pt	Uma reunião de acompanhamento em Hanói, em fevereiro de 2019, terminou abruptamente sem um acordo.
"['Fez', 'sua', 'terceira', 'colaboração', 'com', 'o', 'diretor', 'Christopher', 'Nolan', 'no', 'filme', '""', 'Dunkirk', '""', 'em', '2017', '.']"	[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 7, 0, 0, 0, 0]	pt	"Fez sua terceira colaboração com o diretor Christopher Nolan no filme ""Dunkirk"" em 2017."
['A', 'série', 'também', 'foi', 'transmitida', 'simultaneamente', 'pelo', 'Crunchyroll', '.']	[0, 0, 0, 0, 0, 0, 0, 7, 0]	pt	A série também foi transmitida simultaneamente pelo Crunchyroll.
"['Contém', 'uma', 'canção', 'ausente', 'dos', 'álbuns', 'anteriores', '(', '""', 'Bleed', 'Together', '""', ')', 'que', 'aparece', 'em', 'cópias', 'importadas', 'do', 'single', 'para', '""', 'Burden', 'in', 'My', 'Hand', '""', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0]	pt	"Contém uma canção ausente dos álbuns anteriores (""Bleed Together"") que aparece em cópias importadas do single para ""Burden in My Hand""."
['A', 'grande', 'fonte', 'de', 'tensão', 'é', 'a', 'partilha', 'da', 'água', 'de', '56', 'rios', 'comuns', ',', 'bem', 'como', 'a', 'segurança', 'das', 'fronteiras', 'e', 'barreiras', 'da', 'Índia', 'para', 'comércio', 'e', 'investimentos', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]	pt	A grande fonte de tensão é a partilha da água de 56 rios comuns, bem como a segurança das fronteiras e barreiras da Índia para comércio e investimentos.
