text	Aspect 1	Sentiment 1	Opinion 1	Opinion 2	Aspect 2	Sentiment 2	Aspect 3	Sentiment 3	Aspect 4	Sentiment 4	Opinion 3	Aspect 5	Sentiment 5	Aspect 6	Sentiment 6	Aspect 7	Sentiment 7	Opinion 4	Opinion 5	Aspect 8	Sentiment 8	Opinion 6	Opinion 7	Aspect 9	Sentiment 9
but the staff was so horrible to us	staff	negative	horrible																						
to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora	food	positive	redeeming	above average																					
the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not	food	positive	exceptional	capable	kitchen	positive	menu	neutral																	
for those that go once and do n't enjoy it , all i can say is that they just do n't get it			enjoy																						
not only was the food outstanding , but the little ' perks ' were great	food	positive	outstanding		perks	positive																			
it is very overpriced and not very tasty			overpriced																						
our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats )	orrechiete with sausage and chicken	positive	favorite	kind	waiters	positive	dish	neutral	meats	neutral															
the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy	bagels	positive	outstanding	terrific							chewy														
nevertheless the food itself is pretty good	food	positive																							
i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese songs , black sabbath , jay-z , and daft punk all being played	songs	neutral																							
they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it	mayonnaise	negative	forgot	left out	toast	negative	ingredients	negative	cheese	neutral	over cooked	omelet	neutral	bacon	negative	plate	neutral								
it took half an hour to get our check , which was perfect since we could sit , have drinks and talk !	check	neutral			drinks	neutral																			
the design and atmosphere is just as good	design	positive			atmosphere	positive																			
the pizza is the best if you like thin crusted pizza	pizza	positive	best	like	thin crusted pizza	neutral																			
my girlfriend and i stumbled onto this hopping place the other night and had a great time !			great																						
it is definitely special and affordable			special																						
i really liked this place			liked																						
all the money went into the interior decoration , none of it went to the chefs	interior decoration	positive																							
the seats are uncomfortable if you are sitting against the wall on wooden benches	seats	negative	uncomfortable																						
i asked for seltzer with lime , no ice	seltzer with lime	neutral																							
it was pretty inexpensive too			inexpensive																						
do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods	pickles	positive			selection of meats and seafoods	positive																			
my suggestion is to eat family style because you 'll want to try the other dishes	eat family style	positive																							
faan 's got a great concept but a little rough on the delivery			great	rough																					
from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat	food	positive	incredible	warm	atmosphere	positive	service	positive			friendly														
great food at reasonable prices , makes for an evening that ca n't be beat !	food	positive	great	reasonable	prices	positive																			
this little place has a cute interior deco r and affordable city prices	interior deco	positive	cute	affordable																					
you 'll adore it			adore																						
the price is reasonable although the service is poor	price	positive	reasonable		service	negative																			
worth visiting the 1st ave spot because it is the original store			worth																						
i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers , we sat at the sushi bar to be closer to the action	sushi	neutral			sushi bar	neutral																			
raga 's is a romantic , cozy restaurant			romantic	cozy																					
the fried rice is amazing here	fried rice	positive	amazing																						
three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world	courses	neutral	excellent	out of this world	mussels	positive	puff pastry goat cheese	positive	salad with a delicious dressing	positive		hanger steak au poivre	positive												
it 's a perfect place to have a amanzing indian food	indian food	positive	perfect																						
the place is so cool and the service is prompt and curtious	place	positive	cool	prompt	service	positive																			
at the end you 're left with a mild broth with noodles that you can slurp out of a cup	broth with noodles	positive	mild																						
i just wonder how you can have such a delicious meal for such little money	meal	positive	delicious	little																					
the food was delicious but do not come here on a empty stomach	food	conflict	delicious																						
the wine list is excellent	wine list	positive																							
ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course )	thai food	positive	best																						
they wouldnt even let me finish my glass of wine before offering another	glass of wine	neutral																							
i highly recommend the sophia pizza			recommend																						
whem asked , we had to ask more detailed questions so that we knew what the specials were	specials	neutral																							
nice atmosphere , the service was very pleasant and the desert was good	atmosphere	positive	nice	pleasant	service	positive	desert	positive																	
after really enjoying ourselves at the bar we sat down at a table and had dinner	bar	positive	enjoying		table	neutral																			
fabulous service , fantastic food , and a chilled out atmosphere and environment	service	positive	fabulous	fantastic	food	positive	atmosphere	positive			chilled out														
try the lasagnette appetizer	lasagnette appetizer	positive																							
pricey , but worth a try , at least once			pricey	worth																					
i liked the beer selection !	beer selection	positive	liked																						
