tokens	ner_tags	lang	text
['De', 'Boston', 'Red', 'Sox', 'is', 'de', 'vaste', 'bespeler', 'van', 'het', 'stadion', ',', 'waar', 'eerder', 'ook', 'andere', 'sportclubs', 'te', 'zien', 'waren', '.']	[0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	De Boston Red Sox is de vaste bespeler van het stadion, waar eerder ook andere sportclubs te zien waren.
['Het', 'werd', 'uitgegeven', 'voor', 'de', 'Wii', 'U', 'op', 'de', 'lanceerdag', 'van', 'de', 'console', ',', '30', 'november', '2012', '.']	[0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Het werd uitgegeven voor de Wii U op de lanceerdag van de console, 30 november 2012.
['Daar', 'was', 'Oekraïne', 'opnieuw', 'de', 'tegenstander', '.']	[0, 0, 5, 0, 0, 0, 0]	nl	Daar was Oekraïne opnieuw de tegenstander.
['Hoewel', 'ongeveer', '105.000', 'personen', 'de', 'taal', 'spreken', ',', 'leven', 'slechts', '98.000', 'mensen', 'in', 'Kiribati', ',', 'ongeveer', '97,2', '%', 'van', 'de', 'hele', 'bevolking', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Hoewel ongeveer 105.000 personen de taal spreken, leven slechts 98.000 mensen in Kiribati, ongeveer 97,2% van de hele bevolking.
"['Halverwege', 'de', 'jaren', ""'"", '20', 'werd', 'de', 'Alfa', 'Romeo', 'RL', 'te', 'groot', 'en', 'te', 'log', 'geacht', 'en', 'werd', 'begonnen', 'aan', 'de', 'ontwikkeling', 'van', 'een', 'kleinere', ',', 'lichtere', 'variant', '.']"	[0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Halverwege de jaren '20 werd de Alfa Romeo RL te groot en te log geacht en werd begonnen aan de ontwikkeling van een kleinere, lichtere variant.
['In', '2007', 'bevestigde', 'Brian', 'May', 'de', 'geruchten', 'dat', 'het', 'drietal', 'een', 'nieuw', 'album', 'zouden', 'gaan', 'opnemen', '.']	[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	In 2007 bevestigde Brian May de geruchten dat het drietal een nieuw album zouden gaan opnemen.
['In', '947', 'werd', 'ook', 'de', 'kerk', 'van', 'Budel', 'met', 'de', 'tienden', 'aan', 'dit', 'klooster', 'geschonken', '.']	[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]	nl	In 947 werd ook de kerk van Budel met de tienden aan dit klooster geschonken.
['Jean', 'Roba', 'stond', 'hem', 'bij', 'met', 'het', 'tekenwerk', 'en', 'Greg', 'schreef', 'één', 'scenario', '.']	[1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	nl	Jean Roba stond hem bij met het tekenwerk en Greg schreef één scenario.
['Hij', 'tekende', 'in', 'juli', '2017', 'bij', 'Cercle', 'Brugge', '.']	[0, 0, 0, 0, 0, 0, 3, 4, 0]	nl	Hij tekende in juli 2017 bij Cercle Brugge.
['Hugo', 'de', 'Vries', 'introduceerde', 'ook', 'begrippen', 'als', 'mutatie', 'en', 'gen', ',', 'en', 'stelde', 'dat', 'nieuwe', 'soorten', 'kunnen', 'ontstaan', 'door', 'middel', 'van', 'een', 'enkele', 'mutatie', '(', 'het', 'zogenaamde', 'saltationisme', ')', '.']	[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Hugo de Vries introduceerde ook begrippen als mutatie en gen, en stelde dat nieuwe soorten kunnen ontstaan door middel van een enkele mutatie (het zogenaamde saltationisme).
['Er', 'is', 'een', 'door', 'de', 'koning', 'van', 'Maleisië', 'benoemde', 'gouverneur', '.']	[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]	nl	Er is een door de koning van Maleisië benoemde gouverneur.
['De', 'film', 'springt', 'enkele', 'jaren', 'verder', 'naar', 'een', 'live-uitzending', 'net', 'voor', 'de', 'start', 'van', 'de', 'Ronde', 'van', 'Vlaanderen', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0]	nl	De film springt enkele jaren verder naar een live-uitzending net voor de start van de Ronde van Vlaanderen.
['Op', '22', 'april', '2011', 'trouwde', 'ze', 'met', 'acteur', 'Eddie', 'Cibrian', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	nl	Op 22 april 2011 trouwde ze met acteur Eddie Cibrian.
['Met', 'de', 'hulp', 'van', 'Ethiopië', 'keerden', 'op', '28', 'december', '2006', 'overheidstroepen', 'terug', 'naar', 'de', 'hoofdstad', 'Mogadishu', '.']	[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	nl	Met de hulp van Ethiopië keerden op 28 december 2006 overheidstroepen terug naar de hoofdstad Mogadishu.
['In', 'het', 'seizoen', '2012', '/', '13', 'speelde', 'hij', 'kort', 'voor', 'FK', 'Partizan', 'waarna', 'hij', 'heel', 'kort', 'voor', 'Esteghlal', 'FC', 'in', 'Iran', 'ging', 'spelen', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 3, 4, 0, 5, 0, 0, 0]	nl	In het seizoen 2012 / 13 speelde hij kort voor FK Partizan waarna hij heel kort voor Esteghlal FC in Iran ging spelen.
"['""', 'Zoo', 'Tycoon', '2', '""', 'is', 'het', 'vervolg', 'op', 'het', 'bedrijfssimulatiespel', 'Zoo', 'Tycoon', 'en', 'is', 'uitgebracht', 'in', 'november', '2004', '.']"	[0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0]	nl	"""Zoo Tycoon 2"" is het vervolg op het bedrijfssimulatiespel Zoo Tycoon en is uitgebracht in november 2004."
['De', 'soort', 'is', 'endemisch', 'in', 'Taiwan', '.']	[0, 0, 0, 0, 0, 5, 0]	nl	De soort is endemisch in Taiwan.
['Hij', 'speelt', 'sinds', '2013', 'bij', 'Beşiktaş', 'JK', '.']	[0, 0, 0, 0, 0, 3, 4, 0]	nl	Hij speelt sinds 2013 bij Beşiktaş JK.
"['Zowel', '""', 'Mariner', '6', '""', 'als', '""', '7', '""', 'toonden', 'echter', 'aan', ',', 'dat', 'dit', 'geenszins', 'het', 'geval', 'is', '.']"	[0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	"Zowel ""Mariner 6"" als ""7"" toonden echter aan, dat dit geenszins het geval is."
['In', '2018', 'werd', 'hij', 'geëerd', 'gedurende', 'het', 'gehele', '13e', 'seizoen', 'van', 'De', 'Wereld', 'Draait', 'Door', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0]	nl	In 2018 werd hij geëerd gedurende het gehele 13e seizoen van De Wereld Draait Door.
['De', 'groep', 'werd', 'voor', 'het', 'eerst', 'wetenschappelijk', 'beschreven', 'door', 'Edward', 'Drinker', 'Cope', 'in', '1862', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0]	nl	De groep werd voor het eerst wetenschappelijk beschreven door Edward Drinker Cope in 1862.
"['De', 'wetenschappelijke', 'naam', 'van', 'de', 'soort', 'is', ',', 'als', '""', 'Papilio', 'aeilus', '""', ',', 'voor', 'het', 'eerst', 'geldig', 'gepubliceerd', 'in', '1780', 'door', 'Caspar', 'Stoll', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	nl	"De wetenschappelijke naam van de soort is, als ""Papilio aeilus"", voor het eerst geldig gepubliceerd in 1780 door Caspar Stoll."
"['Al', 'in', '1752', 'was', 'de', 'erfenis', 'helemaal', 'op', 'en', 'kreeg', 'zij', 'van', 'de', 'gemeenteraad', 'veertig', 'daalders', 'in', 'ruil', 'voor', 'een', 'aantal', 'onverkochte', 'exemplaren', 'van', '""', 'Die', 'Kunst', 'der', 'Fuge', '""', 'en', 'van', 'de', 'zang', '-', 'en', 'instrumentale', 'partijen', 'van', 'kerkelijke', 'cantates', 'van', 'haar', 'overleden', 'echtgenoot', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	"Al in 1752 was de erfenis helemaal op en kreeg zij van de gemeenteraad veertig daalders in ruil voor een aantal onverkochte exemplaren van ""Die Kunst der Fuge"" en van de zang - en instrumentale partijen van kerkelijke cantates van haar overleden echtgenoot."
['Ze', 'bracht', 'haar', 'laatste', 'levensjaren', 'teruggetrokken', 'door', 'in', 'Winchester', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	nl	Ze bracht haar laatste levensjaren teruggetrokken door in Winchester.
"['Tsunami', ""'s"", 'komen', 'het', 'meest', 'voor', 'rondom', 'de', 'Grote', 'Oceaan', ',', 'omdat', 'langs', 'alle', 'randen', 'van', 'deze', 'oceaan', 'door', 'platentektoniek', 'veelvuldig', 'aardbevingen', 'plaatsvinden', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Tsunami 's komen het meest voor rondom de Grote Oceaan, omdat langs alle randen van deze oceaan door platentektoniek veelvuldig aardbevingen plaatsvinden.
['In', 'deze', 'lijn', 'lag', 'de', '600', 'meter', 'lange', 'Moerputtenbrug', ',', 'die', 'sinds', 'oktober', '2006', 'dienstdoet', 'als', 'voetgangersbrug', 'door', 'het', 'natuurgebied', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	In deze lijn lag de 600 meter lange Moerputtenbrug, die sinds oktober 2006 dienstdoet als voetgangersbrug door het natuurgebied.
['In', '1929', 'lag', 'hij', 'aan', 'de', 'leiding', 'in', 'de', 'Lightweight', 'TT', ',', 'maar', 'hij', 'moest', 'met', 'motorpech', 'opgeven', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0]	nl	In 1929 lag hij aan de leiding in de Lightweight TT, maar hij moest met motorpech opgeven.
['Hier', 'is', 'de', 'geschiedenis', 'van', 'Cyprus', 'in', 'feite', 'een', 'geschiedenis', 'tussen', 'oost', 'en', 'west', 'in', 'het', 'klein', '.']	[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Hier is de geschiedenis van Cyprus in feite een geschiedenis tussen oost en west in het klein.
['Veel', 'zaken', 'waren', 'al', 'bekend', ',', 'maar', 'het', 'rapport', 'geeft', 'wel', 'een', 'beeld', 'van', 'de', 'activiteiten', 'van', 'de', 'dienst', 'op', 'het', 'hoogtepunt', 'van', 'de', 'Koude', 'Oorlog', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0]	nl	Veel zaken waren al bekend, maar het rapport geeft wel een beeld van de activiteiten van de dienst op het hoogtepunt van de Koude Oorlog.
['Sinds', '2017', 'komt', 'hij', 'uit', 'voor', 'Slovan', 'Bratislava', '.']	[0, 0, 0, 0, 0, 0, 3, 4, 0]	nl	Sinds 2017 komt hij uit voor Slovan Bratislava.
['Ook', 'Lee', 'Marvin', ',', 'Robert', 'Mitchum', 'en', 'Burt', 'Lancaster', 'zagen', 'van', 'de', 'rol', 'af', ',', 'terwijl', 'John', 'Wayne', 'die', 'de', 'rol', 'graag', 'had', 'willen', 'spelen', 'door', 'de', 'producent', 'werd', 'afgewezen', '.']	[0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Ook Lee Marvin, Robert Mitchum en Burt Lancaster zagen van de rol af, terwijl John Wayne die de rol graag had willen spelen door de producent werd afgewezen.
['Hij', 'oefende', 'twee', 'uur', 'per', 'dag', 'en', 'op', 'negenjarige', 'leeftijd', 'speelde', 'hij', 'Buddy', 'Rich', 'al', 'na', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]	nl	Hij oefende twee uur per dag en op negenjarige leeftijd speelde hij Buddy Rich al na.
"['Onder', 'de', 'heerschappij', 'van', 'Ferdinando', 'II', 'de', ""'"", 'Medici', 'begon', 'echter', 'het', 'economische', 'verval', ',', 'dat', 'een', 'dieptepunt', 'bereikte', 'onder', 'Cosimo', 'III', 'de', ""'"", 'Medici', '.']"	[0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]	nl	Onder de heerschappij van Ferdinando II de 'Medici begon echter het economische verval, dat een dieptepunt bereikte onder Cosimo III de' Medici.
['Net', 'als', 'in', '2014', 'rijdt', 'hij', 'voor', 'ART', 'Grand', 'Prix', '.']	[0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0]	nl	Net als in 2014 rijdt hij voor ART Grand Prix.
['Het', 'toernooi', 'werd', 'gehouden', 'in', 'België', 'en', 'Nederland', ',', 'en', 'duurde', 'van', '10', 'juni', '2000', 'tot', '2', 'juli', '2000', '.']	[0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Het toernooi werd gehouden in België en Nederland, en duurde van 10 juni 2000 tot 2 juli 2000.
['Op', '6', 'januari', '2003', 'ging', 'officieel', 'de', 'eerste', 'schop', 'de', 'grond', 'in', 'bij', 'Swalmen', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	nl	Op 6 januari 2003 ging officieel de eerste schop de grond in bij Swalmen.
['Ze', 'is', 'samen', 'met', 'Bruce', 'Springsteen', 'en', 'Barbra', 'Streisand', 'de', 'enige', 'solo-artiest', 'met', 'nummer', '1-studio', 'albums', 'in', 'de', 'Verenigde', 'Staten', 'in', 'vier', 'verschillende', 'decennia', '(', 'jaren', '80', ',', 'jaren', '90', ',', 'jaren', '00', 'en', 'jaren', '10', ')', '.']	[0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Ze is samen met Bruce Springsteen en Barbra Streisand de enige solo-artiest met nummer 1-studio albums in de Verenigde Staten in vier verschillende decennia (jaren 80, jaren 90, jaren 00 en jaren 10).
['Hij', 'verplaatste', 'het', 'hoofdkantoor', 'van', 'zijn', 'imperium', '(', 'dat', 'toen', 'reeds', 'op', '5', 'continenten', 'actief', 'was', ')', 'naar', 'Boedapest', 'en', 'ging', 'verder', 'met', 'zijn', 'investeringen', 'in', 'nachtclubs', ',', 'restaurants', 'en', 'brouwerijen', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Hij verplaatste het hoofdkantoor van zijn imperium (dat toen reeds op 5 continenten actief was) naar Boedapest en ging verder met zijn investeringen in nachtclubs, restaurants en brouwerijen.
['Hij', 'reed', 'Parijs-Roubaix', '14', 'keer', 'en', 'moest', 'alleen', 'in', '1980', 'opgeven', '.']	[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Hij reed Parijs-Roubaix 14 keer en moest alleen in 1980 opgeven.
"['De', 'serie', 'werd', 'later', 'opgevolgd', 'door', '""', 'Pirates', 'of', 'the', 'Caribbean', ':', 'Legends', 'of', 'the', 'Brethren', 'Court', '""', '.']"	[0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 0]	nl	"De serie werd later opgevolgd door ""Pirates of the Caribbean: Legends of the Brethren Court""."
['In', 'deze', 'tempel', 'heeft', 'de', 'Ark', 'van', 'het', 'Verbond', 'nooit', 'gestaan', ',', 'omdat', 'deze', 'vanaf', 'de', 'periode', 'rond', 'de', 'verwoesting', 'van', 'de', 'tempel', 'van', 'Salomo', 'verdwenen', 'was', '.']	[0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	nl	In deze tempel heeft de Ark van het Verbond nooit gestaan, omdat deze vanaf de periode rond de verwoesting van de tempel van Salomo verdwenen was.
"['Een', 'van', 'deze', 'komedies', ',', '""', 'Marley', '&', 'Me', '""', 'ging', 'de', 'boeken', 'in', 'als', 'meest', 'succesvolle', 'opening', 'van', 'een', 'film', 'tijdens', 'het', 'kerstweekend', '.']"	[0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	"Een van deze komedies, ""Marley & Me"" ging de boeken in als meest succesvolle opening van een film tijdens het kerstweekend."
['Op', '12', 'maart', ',', 'onderweg', 'naar', 'de', 'Falklandeilanden', ',', 'stak', 'er', 'een', 'nog', 'hevigere', 'storm', 'op', '.']	[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Op 12 maart, onderweg naar de Falklandeilanden, stak er een nog hevigere storm op.
['In', 'een', 'lichting', 'met', 'onder', 'andere', 'Richard', 'Witschge', ',', 'Dennis', 'Bergkamp', ',', 'Bryan', 'Roy', ',', 'Michel', 'Kreek', ',', 'Ronald', 'de', 'Boer', 'en', 'Frank', 'de', 'Boer', '.']	[0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 2, 0, 1, 2, 2, 0]	nl	In een lichting met onder andere Richard Witschge, Dennis Bergkamp, Bryan Roy, Michel Kreek, Ronald de Boer en Frank de Boer.
['In', 'andere', 'delen', 'van', 'de', 'wereld', 'zijn', 'vlooien', 'een', 'bekende', 'plaag', ',', 'in', 'Zuid-Afrika', 'bijvoorbeeld', 'zijn', 'mensenvlooien', 'heel', 'gewoon', ',', 'vooral', 'onder', 'de', 'arme', 'bevolking', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	In andere delen van de wereld zijn vlooien een bekende plaag, in Zuid-Afrika bijvoorbeeld zijn mensenvlooien heel gewoon, vooral onder de arme bevolking.
['Zijn', 'partij', 'verloor', 'de', 'verkiezingen', 'en', 'ging', 'van', '16,7', '%', 'in', '2006', '(', 'in', 'kartel', 'met', 'Vivant', ')', 'naar', '10,8', '%', 'en', 'verloor', 'daardoor', '2', 'verkozenen', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Zijn partij verloor de verkiezingen en ging van 16,7% in 2006 (in kartel met Vivant) naar 10,8% en verloor daardoor 2 verkozenen.
['Nederlandse', 'tekenaars', 'zijn', 'Peter', 'Pontiac', ',', 'Joost', 'Swarte', ',', 'Theo', 'van', 'den', 'Boogaard', ',', 'Ever', 'Meulen', '.']	[0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 2, 2, 0, 1, 2, 0]	nl	Nederlandse tekenaars zijn Peter Pontiac, Joost Swarte, Theo van den Boogaard, Ever Meulen.
['Een', 'jaar', 'later', 'bij', 'de', 'wereldkampioenschappen', 'van', '2001', 'in', 'Edmonton', 'werd', 'ze', 'wederom', 'gediskwalificeerd', ',', 'waarop', 'ze', 'overwoog', 'te', 'stoppen', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	nl	Een jaar later bij de wereldkampioenschappen van 2001 in Edmonton werd ze wederom gediskwalificeerd, waarop ze overwoog te stoppen.
['Tijdens', 'de', 'Tweede', 'Wereldoorlog', 'was', 'hij', '1ste', 'luitenant', 'van', 'de', 'Wehrmacht', '.']	[0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 3, 0]	nl	Tijdens de Tweede Wereldoorlog was hij 1ste luitenant van de Wehrmacht.
['In', '1933', 'moet', 'hij', 'door', 'de', 'opkomst', 'van', 'het', 'nationaalsocialisme', 'Berlijn', 'ontvluchten', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]	nl	In 1933 moet hij door de opkomst van het nationaalsocialisme Berlijn ontvluchten.
['Hij', 'liep', '13,31', ',', 'waarmee', 'hij', 'als', 'zesde', 'en', 'laatste', 'eindigde', 'van', 'het', 'viertal', 'Amerikaanse', 'finalisten', ',', 'van', 'wie', 'David', 'Oliver', 'in', '13,00', 'ditmaal', 'de', 'snelste', 'bleek', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]	nl	Hij liep 13,31, waarmee hij als zesde en laatste eindigde van het viertal Amerikaanse finalisten, van wie David Oliver in 13,00 ditmaal de snelste bleek.
