tokens	ner_tags	lang	text
['Se', 'han', 'vendido', 'más', 'de', '18', 'millones', 'de', 'ejemplares', 'solamente', 'en', 'los', 'Estados', 'Unidos', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]	es	Se han vendido más de 18 millones de ejemplares solamente en los Estados Unidos.
['Se', 'pensaba', 'que', 'el', 'Imperio', 'ruso', 'podía', 'desembarcar', 'una', 'fuerza', 'importante', 'en', 'el', 'Bósforo', 'y', 'tomar', 'Constantinopla', 'antes', 'de', 'que', 'cualquier', 'flota', 'occidental', 'tuviera', 'tiempo', 'de', 'intervenir', 'ya', 'que', 'desde', 'Sebastopol', 'solo', 'eran', 'necesarios', 'cuatro', 'días', 'de', 'navegación', 'para', 'llegar', 'a', 'la', 'capital', 'otomana', '.']	[0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	es	Se pensaba que el Imperio ruso podía desembarcar una fuerza importante en el Bósforo y tomar Constantinopla antes de que cualquier flota occidental tuviera tiempo de intervenir ya que desde Sebastopol solo eran necesarios cuatro días de navegación para llegar a la capital otomana.
['La', 'banda', 'sonora', 'original', 'fue', 'compuesta', 'por', 'Steve', 'Jablonsky', '.']	[0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	es	La banda sonora original fue compuesta por Steve Jablonsky.
['En', '1983', 'se', 'terminó', 'la', 'construcción', 'del', 'Aeropuerto', 'Internacional', 'Xoxocotlán', '.']	[0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0]	es	En 1983 se terminó la construcción del Aeropuerto Internacional Xoxocotlán.
"['El', 'juego', ',', 'como', 'también', 'la', 'película', ',', 'están', 'basados', 'en', '""', 'Harry', 'Potter', 'y', 'el', 'cáliz', 'de', 'fuego', '""', ',', 'novela', 'de', 'J.', 'K.', 'Rowling', 'y', 'sus', 'más', 'fuertes', 'lanzamientos', 'son', 'para', 'PlayStation', '2', ',', 'Xbox', ',', 'GameCube', ',', 'PC', ',', 'PlayStation', 'Portable', 'y', 'Nintendo', 'DS', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 8, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 7, 0, 7, 0, 7, 0, 7, 8, 0, 7, 8, 0]	es	"El juego, como también la película, están basados en ""Harry Potter y el cáliz de fuego"", novela de J. K. Rowling y sus más fuertes lanzamientos son para PlayStation 2, Xbox, GameCube, PC, PlayStation Portable y Nintendo DS."
['Luchó', 'en', 'el', 'asedio', 'de', 'La', 'Habana', ',', 'en', 'posesión', 'de', 'los', 'españoles', ',', 'la', 'cual', 'acabó', 'rindiéndose', '.']	[0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	es	Luchó en el asedio de La Habana, en posesión de los españoles, la cual acabó rindiéndose.
"['En', '""', 'Sonic', 'Adventure', '2', '""', ',', 'en', 'la', 'modalidad', 'de', '2', 'jugadores', ',', 'aparece', 'portando', 'un', 'traje', 'púrpura', 'y', 'la', 'sombra', 'de', 'sus', 'ojos', 'cambia', 'a', 'rosa', 'en', 'lugar', 'de', 'azul', '.']"	[0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	es	"En ""Sonic Adventure 2"", en la modalidad de 2 jugadores, aparece portando un traje púrpura y la sombra de sus ojos cambia a rosa en lugar de azul."
['El', 'tornado', 'continuado', 'a', 'través', 'del', 'condado', ',', 'averiando', 'estructuras', 'numerosas', ',', 'hasta', 'que', 'cruzó', 'a', 'Connecticut', 'en', '4:01', 'p.m.', 'EDT', '(', '20:01', 'UTC', ')', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]	es	El tornado continuado a través del condado, averiando estructuras numerosas, hasta que cruzó a Connecticut en 4:01 p.m. EDT (20:01 UTC).
['La', 'planta', 'se', 'encuentra', 'en', 'el', 'bosque', 'nublado', 'de', 'Ecuador', 'en', 'elevaciones', 'de', '1400', 'a', '2500', 'msnm', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]	es	La planta se encuentra en el bosque nublado de Ecuador en elevaciones de 1400 a 2500 msnm.
['El', '5', 'de', 'marzo', 'de', '2015', 'marca', 'un', 'gol', 'por', 'la', 'Copa', 'Libertadores', '2015', 'ante', 'Club', 'San', 'José', 'de', 'Bolivia', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 3, 4, 4, 0, 5, 0]	es	El 5 de marzo de 2015 marca un gol por la Copa Libertadores 2015 ante Club San José de Bolivia.
