tokens	tags	text	ner_tags	lang
['3.5', ')', 'ලොකු', 'ළූණු', 'බීජ', 'හිඟයට', 'පිළියමක්', 'ලෙස', 'ගිරිතලේ', 'සහ', 'දේවහුව', 'ව්\u200dයාපාරවල', 'මව්', 'බල්බ', 'කිලෝ', 'ග්රෑම්', '8,000ක්', 'පමණ', 'වගා', 'කර', 'බීජ', 'කිලෝ', 'ග්රෑම්', '450ක්', 'පමණ', 'නිෂ්පාදනය', 'කර', 'ඇත', '.']	['B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O']	3.5 ) ලොකු ළූණු බීජ හිඟයට පිළියමක් ලෙස ගිරිතලේ සහ දේවහුව ව්‍යාපාරවල මව් බල්බ කිලෝ ග්රෑම් 8,000ක් පමණ වගා කර බීජ කිලෝ ග්රෑම් 450ක් පමණ නිෂ්පාදනය කර ඇත.	[7, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0]	si
['2015', 'වර්ෂයේ', 'දී', 'මෙලෙස', 'පුනරාවර්තන', 'වියදම', 'විශාල', 'වශයෙන්', 'වැඩිවීමට', 'ජනාධිපතිවරණය', 'හා', 'පාර්ලිමේන්තු', 'මැතිවරණය', 'පැවැත්වීම', 'සෘජු', 'ව', 'ම', 'බලපා', 'ඇත', '.']	['B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	2015 වර්ෂයේ දී මෙලෙස පුනරාවර්තන වියදම විශාල වශයෙන් වැඩිවීමට ජනාධිපතිවරණය හා පාර්ලිමේන්තු මැතිවරණය පැවැත්වීම සෘජු ව ම බලපා ඇත.	[7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0]	si
['රජයේ', 'අත්තිකාරම්', 'ගිණුම්වලට', 'අදාළ', '2014', 'වසර', 'සඳහා', 'ඇස්තමේන්තුගත', 'අවම', 'ලැබීම්', 'සීමාව', 'රු', '.', 'බිලියන', '14.1', 'කි', '.']	['O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O']	රජයේ අත්තිකාරම් ගිණුම්වලට අදාළ 2014 වසර සඳහා ඇස්තමේන්තුගත අවම ලැබීම් සීමාව රු . බිලියන 14.1 කි.	[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0]	si
['උපදේශක', 'සේවාවක්ව', 'පැවති', 'ජල', 'සම්පත්', 'මණ්ඩලය', 'වාණිජමය', 'කාර්යයන්හි', 'නියැළීමට', 'හැකි', 'වන', 'පරිදි', 'හා', 'ශ්\u200dරී', 'ලංකාවේ', 'භූගත', 'ජල', 'සම්පතට', 'අදාළ', 'කරුණු', 'සම්බන්ධයෙන්', 'වැඩි', 'අවධානයක්', 'යොමු', 'කිරීමට', 'ජල', 'සම්පත්', 'මණ්ඩලයට', 'බලය', 'පවරා', 'දීම', 'සඳහා', 'ජල', 'සම්පත්', 'මණ්ඩල', 'පනත', '1999', 'දී', 'පාර්ලිමේන්තුවට', 'ඉදිරිපත්', 'කර', 'සංශෝධනය', 'කළේ', 'ය', '.']	['O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'B-MISC', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']	උපදේශක සේවාවක්ව පැවති ජල සම්පත් මණ්ඩලය වාණිජමය කාර්යයන්හි නියැළීමට හැකි වන පරිදි හා ශ්‍රී ලංකාවේ භූගත ජල සම්පතට අදාළ කරුණු සම්බන්ධයෙන් වැඩි අවධානයක් යොමු කිරීමට ජල සම්පත් මණ්ඩලයට බලය පවරා දීම සඳහා ජල සම්පත් මණ්ඩල පනත 1999 දී පාර්ලිමේන්තුවට ඉදිරිපත් කර සංශෝධනය කළේ ය.	[0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 7, 0, 3, 0, 0, 0, 0, 0, 0]	si
['එයින්', '74.34%', 'ක්', 'සිංහල', 'ද', ',', '11.31%', 'ක්', 'ද්\u200dරවිඩ', 'ද', ',', '13.95%', 'ක්', 'මුස්ලිම්', 'ද', 'හා', '0.40%', 'ක්', 'වෙනත්', 'ජාතීන්', 'ද', 'වේ', '.']	['O', 'B-MISC', 'O', 'B-MISC', 'O', 'O', 'B-MISC', 'O', 'B-MISC', 'O', 'O', 'B-MISC', 'O', 'B-MISC', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']	එයින් 74.34% ක් සිංහල ද, 11.31% ක් ද්‍රවිඩ ද, 13.95% ක් මුස්ලිම් ද හා 0.40% ක් වෙනත් ජාතීන් ද වේ.	[0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0]	si
['ඉන්', '15', 'දෙනෙකු', 'නිල', 'බලයන්', 'හා', 'අදාළ', 'ආයතනවලින්', '5', 'දෙනෙකු', 'වශයෙනි', '.']	['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O']	ඉන් 15 දෙනෙකු නිල බලයන් හා අදාළ ආයතනවලින් 5 දෙනෙකු වශයෙනි.	[0, 7, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0]	si
['ඇන්ටනා', 'පිළිබඳ', 'හැඳින්වීම', 'මෙගා', 'හර්ට්ස්', '500', 'මුලු', 'පරාවර්තන', 'ඇන්ටනා', 'සහ', 'මෙගා', 'හර්ට්ස්', '200', 'යාගී', 'ඇන්ටනා', 'නිෂ්පාදනයට', 'අවශ්\u200dය', 'සියලු', 'තොරතුරු', 'බූස්ටර්', 'පරිපථ', 'පිරිමැවුම්', 'කිරීම', 'හා', 'හැඳින්වීම', 'ජංගම', 'දුරකතන', 'අලුත්වැඩියාව', 'වැඩමුළුව', '–', 'දින', '02', 'වැඩමුළුව', 'පහත', 'සඳහන්', 'යටි', 'තහවුරු', 'දැනුම', 'හා', 'නිපුණතා', 'සංවර්ධනය', 'කර', 'ගැනීමට', 'උපකාරී', 'වනු', 'ඇත', '.']	['O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	ඇන්ටනා පිළිබඳ හැඳින්වීම මෙගා හර්ට්ස් 500 මුලු පරාවර්තන ඇන්ටනා සහ මෙගා හර්ට්ස් 200 යාගී ඇන්ටනා නිෂ්පාදනයට අවශ්‍ය සියලු තොරතුරු බූස්ටර් පරිපථ පිරිමැවුම් කිරීම හා හැඳින්වීම ජංගම දුරකතන අලුත්වැඩියාව වැඩමුළුව – දින 02 වැඩමුළුව පහත සඳහන් යටි තහවුරු දැනුම හා නිපුණතා සංවර්ධනය කර ගැනීමට උපකාරී වනු ඇත.	[0, 0, 0, 7, 8, 8, 8, 8, 8, 0, 7, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	si
['4.1', 'ජාතික', 'උත්සව', 'මෝටර්', 'රථ', 'අංශය', 'ක්\u200dරියාකාරකම', 'ඉලක්කය', 'ප්\u200dරගතිය', 'ඉලක්කගත\u200d', 'ආදායම', 'ඉපයූ', 'ආදායම', 'නව', 'රියදුරු', 'බලපත්', 'නිකුත්', 'කිරීම', 'රියදුරු', 'බලපත්', 'අලුත්වැඩියා', 'කිරීම', 'අංක', 'තහඩු', 'නිකුත්', 'කිරීම', 'නව', 'යතුරුපැදි', 'ලියාපදිංචි', 'කිරීම', 'යතුරුපැදි', 'පැවරීම', 'බර', 'සහතික', 'නිකුත්', 'කිරීම', 'අනන්\u200dයතා', 'සහතික', 'නිකුත්', 'කිරීම', 'තහනම්', 'නියෝග', 'නිකුත්', 'කිරීම', 'රියදුරු', 'නව', 'බඳවා', 'ගැනීම්', 'හා', 'කාර්යක්ෂමතා', 'කඩඉම්', 'විභාග', 'දත්ත', 'රැස්', 'කිරීම', 'සංඛ්\u200dයා', 'ලේඛන', 'අංශය', 'ආර්ථික', 'සංගණන', '2014', 'පසුගිය', 'දශකය', 'තුළ', 'ශ්\u200dරී', 'ලාංකේය', 'ආර්ථිකය', 'තුළ', 'සේවා', 'ආර්ථිකයේ', 'දායකත්වය', 'කැපී', 'පෙනෙන', 'ලෙස', 'වර්ධනය', 'විය', '.']	['B-MISC', 'B-MISC', 'I-MISC', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'B-MISC', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	4.1 ජාතික උත්සව මෝටර් රථ අංශය ක්‍රියාකාරකම ඉලක්කය ප්‍රගතිය ඉලක්කගත‍ ආදායම ඉපයූ ආදායම නව රියදුරු බලපත් නිකුත් කිරීම රියදුරු බලපත් අලුත්වැඩියා කිරීම අංක තහඩු නිකුත් කිරීම නව යතුරුපැදි ලියාපදිංචි කිරීම යතුරුපැදි පැවරීම බර සහතික නිකුත් කිරීම අනන්‍යතා සහතික නිකුත් කිරීම තහනම් නියෝග නිකුත් කිරීම රියදුරු නව බඳවා ගැනීම් හා කාර්යක්ෂමතා කඩඉම් විභාග දත්ත රැස් කිරීම සංඛ්‍යා ලේඛන අංශය ආර්ථික සංගණන 2014 පසුගිය දශකය තුළ ශ්‍රී ලාංකේය ආර්ථිකය තුළ සේවා ආර්ථිකයේ දායකත්වය කැපී පෙනෙන ලෙස වර්ධනය විය.	[7, 7, 8, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 7, 8, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 7, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	si
['04', '.', '2015', 'වර්ෂය', 'තුළ', 'දී', 'අවසන්', 'කළ', 'නඩු', 'සංඛ්\u200dයාව']	['B-MISC', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O']	04. 2015 වර්ෂය තුළ දී අවසන් කළ නඩු සංඛ්‍යාව	[7, 0, 7, 8, 0, 0, 0, 0, 0, 0]	si
['මෙම', 'සිසුන්', 'තෝරාගනු', 'ලැබුයේ', '2012', 'වර්ෂයේ', 'අපොස', '(', 'සා.පෙළ', ')', 'හා', '(', 'උ.\u200dපෙළ', ')', 'අසමත්', 'ළමුන්', 'ලිපි', 'මගින්', 'දැනුවත්', 'කිරීමෙන්', 'හා', 'එම', 'දිස්ත්\u200dරික්කවල', 'ග්\u200dරාම', 'නිලධාරීන්', ',', 'නිපුණතා', 'සංවර්ධන', 'නිලධාරීන්', 'මගිනි', '.']	['O', 'O', 'O', 'O', 'B-MISC', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O']	මෙම සිසුන් තෝරාගනු ලැබුයේ 2012 වර්ෂයේ අපොස ( සා.පෙළ ) හා ( උ.‍පෙළ ) අසමත් ළමුන් ලිපි මගින් දැනුවත් කිරීමෙන් හා එම දිස්ත්‍රික්කවල ග්‍රාම නිලධාරීන්, නිපුණතා සංවර්ධන නිලධාරීන් මගිනි.	[0, 0, 0, 0, 7, 0, 7, 8, 8, 8, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 7, 8, 8, 0, 0]	si
