text	label_text
a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films	very positive
apparently reassembled from the cutting-room floor of any given daytime soap .	negative
they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .	negative
the entire movie is filled with deja vu moments .	neutral
this is a visually stunning rumination on love , memory , history and the war between art and commerce .	positive
um , no. .	neutral
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .	positive
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .	positive
a fan film that for the uninitiated plays better on video with the sound turned down .	negative
béart and berling are both superb , while huppert ... is magnificent .	very positive
a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .	negative
the film is strictly routine .	negative
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .	positive
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .	negative
for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .	negative
this is a stunning film , a one-of-a-kind tour de force .	very positive
may be more genial than ingenious , but it gets the job done .	positive
there is a freedom to watching stunts that are this crude , this fast-paced and this insane .	positive
if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .	negative
as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .	very positive
final verdict : you 've seen it all before .	very negative
blue crush follows the formula , but throws in too many conflicts to keep the story compelling .	negative
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .	negative
a slick , engrossing melodrama .	very positive
a wretched movie that reduces the second world war to one man 's quest to find an old flame .	negative
eccentric enough to stave off doldrums , caruso 's self-conscious debut is also eminently forgettable .	neutral
will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .	negative
one of -lrb- jaglom 's -rrb- better efforts -- a wry and sometime bitter movie about love .	neutral
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .	very negative
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .	positive
the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .	very positive
too bad .	negative
a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .	very positive
gooding offers a desperately ingratiating performance .	negative
