tokens	ner_tags	lang	text
['Beginning', 'in', '2017', ',', 'many', 'scientific', 'institutions', 'corrected', 'their', 'versions', 'of', 'this', 'history', 'to', 'indicate', 'that', 'the', 'discovery', 'credit', 'for', 'the', 'reaction', 'belongs', 'to', 'Patrick', 'Blackett', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	en	Beginning in 2017, many scientific institutions corrected their versions of this history to indicate that the discovery credit for the reaction belongs to Patrick Blackett.
['Its', 'capital', 'is', 'Puerto', 'del', 'Rosario', '.']	[0, 0, 0, 5, 6, 6, 0]	en	Its capital is Puerto del Rosario.
"['A', 'spin-off', 'series', ',', '""', 'Once', 'Upon', 'a', 'Time', 'in', 'Wonderland', '""', ',', 'consisting', 'of', '13', 'episodes', 'featuring', 'the', 'title', 'character', 'of', 'the', '1865', 'novel', '""', 'Alice', ""'s"", 'Adventures', 'in', 'Wonderland', '""', 'by', 'Lewis', 'Carroll', ',', 'premiered', 'on', 'October', '10', ',', '2013', 'and', 'concluded', 'on', 'April', '3', ',', '2014', '.']"	[0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	"A spin-off series, "" Once Upon a Time in Wonderland "", consisting of 13 episodes featuring the title character of the 1865 novel "" Alice's Adventures in Wonderland "" by Lewis Carroll, premiered on October 10, 2013 and concluded on April 3, 2014."
['As', 'at', 'year-end', '2012', ',', 'the', 'global', 'cement', 'industry', 'consisted', 'of', '5673', 'cement', 'production', 'facilities', ',', 'including', 'both', 'integrated', 'and', 'grinding', ',', 'of', 'which', '3900', 'were', 'located', 'in', 'China', 'and', '1773', 'in', 'the', 'rest', 'of', 'the', 'world', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	As at year-end 2012, the global cement industry consisted of 5673 cement production facilities, including both integrated and grinding, of which 3900 were located in China and 1773 in the rest of the world.
"['By', '1935', 'industry', 'supplied', '62', '%', 'of', 'Armenia', ""'s"", 'economic', 'production', '.']"	[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]	en	By 1935 industry supplied 62% of Armenia's economic production.
"['In', 'addition', ',', 'The', 'Undertaker', ""'s"", 'motorcycle', 'could', 'be', 'ridden', 'in', 'some', 'matches', '.']"	[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	In addition, The Undertaker's motorcycle could be ridden in some matches.
['The', 'latter', 'song', 'was', 'dedicated', 'to', 'the', 'first', 'female', 'cosmonaut', 'Valentina', 'Tereshkova', ',', 'who', 'was', 'present', 'in', 'the', 'concert', 'hall', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	The latter song was dedicated to the first female cosmonaut Valentina Tereshkova, who was present in the concert hall.
['Peter', 'Wegner', 'argued', 'that', 'those', 'paradigms', 'are', 'science', ',', 'technology', ',', 'and', 'mathematics', '.']	[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	Peter Wegner argued that those paradigms are science, technology, and mathematics.
['With', 'Red', 'Barber', 'announcing', ',', 'the', 'Brooklyn', 'Dodgers', 'and', 'the', 'Cincinnati', 'Reds', 'played', 'a', 'doubleheader', 'at', 'Ebbets', 'Field', '.']	[0, 1, 2, 0, 0, 0, 3, 4, 0, 0, 3, 4, 0, 0, 0, 0, 5, 6, 0]	en	With Red Barber announcing, the Brooklyn Dodgers and the Cincinnati Reds played a doubleheader at Ebbets Field.
"['Drummers', 'such', 'as', 'Baby', 'Dodds', ',', 'Zutty', 'Singleton', 'and', 'Ray', 'Bauduc', 'had', 'taken', 'the', 'idea', 'of', 'marching', 'rhythms', ',', 'combining', 'the', 'bass', 'drum', 'and', 'snare', 'drum', 'and', '""', 'traps', '""', ',', 'a', 'term', 'used', 'to', 'refer', 'to', 'the', 'percussion', 'instruments', 'associated', 'with', 'immigrant', 'groups', ',', 'which', 'included', 'miniature', 'cymbals', ',', 'tom', 'toms', ',', 'cowbells', 'and', 'woodblocks', '.']"	[0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	"Drummers such as Baby Dodds, Zutty Singleton and Ray Bauduc had taken the idea of marching rhythms, combining the bass drum and snare drum and "" traps "", a term used to refer to the percussion instruments associated with immigrant groups, which included miniature cymbals, tom toms, cowbells and woodblocks."
['Other', 'radio', 'markets', 'began', 'playing', 'the', 'song', ',', 'while', 'Victor', 'searched', 'for', 'its', 'old', 'masters', 'to', 'press', 'copies', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	Other radio markets began playing the song, while Victor searched for its old masters to press copies.
"['In', '2013', ',', 'a', 'second', 'Blu-ray', 'of', 'the', 'film', 'was', 'released', ',', 'again', 'by', 'Mill', 'Creek', 'Entertainment', ',', 'as', 'a', 'double', 'feature', 'with', '""', 'Second', 'in', 'Command', '""', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0]	en	"In 2013, a second Blu-ray of the film was released, again by Mill Creek Entertainment, as a double feature with "" Second in Command ""."
"['The', 'principal', 'church', 'of', 'the', 'parish', 'is', 'the', 'St.', 'Nicholas', ""'"", 'Collegiate', 'Church', '(', 'founded', '1320', ')', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 6, 0, 0, 0, 0, 0]	en	The principal church of the parish is the St. Nicholas' Collegiate Church (founded 1320).
['He', 'quit', 'his', 'job', 'at', 'KPMG', 'in', 'April', '2004', 'and', 'for', 'a', 'time', 'earned', 'his', 'living', 'mainly', 'by', 'playing', 'online', 'poker', '.']	[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	He quit his job at KPMG in April 2004 and for a time earned his living mainly by playing online poker.
['There', 'are', 'also', 'commercial', 'deposits', 'being', 'actively', 'mined', 'in', 'the', 'Northwest', 'Territories', 'of', 'Canada', 'and', 'Brazil', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 0, 5, 0]	en	There are also commercial deposits being actively mined in the Northwest Territories of Canada and Brazil.
"['The', 'sweet', 'potato', 'was', 'grown', 'in', 'Polynesia', 'before', 'western', 'exploration', 'as', 'the', '""', 'Ipomoea', 'batatas', '""', ',', 'which', 'is', 'generally', 'spread', 'by', 'vine', 'cuttings', 'rather', 'than', 'by', 'seeds', '.']"	[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	"The sweet potato was grown in Polynesia before western exploration as the "" Ipomoea batatas "", which is generally spread by vine cuttings rather than by seeds."
['He', 'died', 'at', 'Port', 'Eliot', 'in', '1845', 'and', 'was', 'succeeded', 'by', 'his', 'eldest', 'son', '.']	[0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	He died at Port Eliot in 1845 and was succeeded by his eldest son.
['Graham', 'Rowntree', 'and', 'Neil', 'Jenkins', 'remained', ',', 'however', 'specializing', 'in', 'scrummaging', 'and', 'kicking', '.']	[1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	Graham Rowntree and Neil Jenkins remained, however specializing in scrummaging and kicking.
"['Ajax', 'suspended', 'him', 'for', 'two', 'matches', 'and', 'fined', 'him', 'an', 'undisclosed', 'amount', ',', 'which', 'the', 'club', 'said', 'they', 'would', 'donate', 'to', 'a', '""', 'good', 'cause', '""', '.']"	[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	"Ajax suspended him for two matches and fined him an undisclosed amount, which the club said they would donate to a "" good cause ""."
['Even', 'during', 'World', 'War', 'II', 'consideration', 'of', 'the', 'idea', 'using', 'conventional', 'explosives', 'was', 'explored', '.']	[0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	en	Even during World War II consideration of the idea using conventional explosives was explored.
"['In', 'the', '20th', 'century', ',', 'it', 'became', 'a', 'convenient', 'place', 'to', 'house', 'prominent', 'members', 'of', 'India', ""'s"", 'independence', 'movement', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]	en	In the 20th century, it became a convenient place to house prominent members of India's independence movement.
