tokens	ner_tags	lang	text
['Kolonia', 'wchodzi', 'w', 'skład', 'sołectwa', 'Lubieniów', '.']	[0, 0, 0, 0, 0, 5, 0]	pl	Kolonia wchodzi w skład sołectwa Lubieniów.
['Zwalniacz', '(', 'lub', 'oś', 'zwalniacza', ')', 'klina', 'zamkowego', ',', 'znajduje', 'się', 'po', 'lewej', 'stronie', 'tarczy', 'osłony', 'armaty', '[', 'np', ':', 'armata', 'D10T', '(', 'czołg', 'T-55', ')', ',', '2A46M', '(', 'czołgi', 'T-64', ',', 'T-72', ',', 'T-80', ')', ']', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 8, 0, 8, 0, 8, 0, 0, 0]	pl	Zwalniacz (lub oś zwalniacza) klina zamkowego, znajduje się po lewej stronie tarczy osłony armaty [np: armata D10T (czołg T-55), 2A46M (czołgi T-64, T-72, T-80)].
['Mirosław', 'Niziurski', '.']	[1, 2, 0]	pl	Mirosław Niziurski.
['Początkowo', 'został', 'zaprojektowany', 'w', '1971', 'roku', 'do', 'pracy', 'na', 'komputerach', 'typu', 'mainframe', 'firmy', 'IBM', '(', 'S', '/', '370', ')', ',', 'później', 'przeniesiony', 'na', 'inne', 'platformy', ',', 'głównie', 'uniksowe', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pl	Początkowo został zaprojektowany w 1971 roku do pracy na komputerach typu mainframe firmy IBM (S / 370), później przeniesiony na inne platformy, głównie uniksowe.
['i', 'Scott', 'Goodyear', '(', '0,043', 'sekundy', ')', '.']	[0, 1, 2, 0, 0, 0, 0, 0]	pl	i Scott Goodyear (0,043 sekundy).
['Do', 'tego', 'czasu', 'byłam', 'pianistką', ',', 'grającą', 'w', 'sposób', 'klasyczny', '–', 'również', 'w', 'orkiestrze', 'w', 'Beppu', ',', 'która', 'była', 'okropna', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]	pl	Do tego czasu byłam pianistką, grającą w sposób klasyczny – również w orkiestrze w Beppu, która była okropna.
"['Treść', 'pięcioaktowej', 'opery', '""', 'Niema', 'z', 'Portici', '""', 'była', 'jednym', 'z', 'powodów', 'wybuchu', 'rewolucji', 'belgijskiej', '.']"	[0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]	pl	"Treść pięcioaktowej opery ""Niema z Portici"" była jednym z powodów wybuchu rewolucji belgijskiej."
['W', 'kwalifikacjach', 'Mika', 'Salo', 'zajął', 'szesnaste', 'miejsce', 'z', 'czasem', '1:33', '.']	[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]	pl	W kwalifikacjach Mika Salo zajął szesnaste miejsce z czasem 1:33.
"['""', 'Saint-Maurice-en-Valgodemard', '""', '–', 'miejscowość', 'i', 'gmina', 'we', 'Francji', ',', 'w', 'regionie', 'Prowansja-Alpy-Lazurowe', 'Wybrzeże', ',', 'w', 'departamencie', 'Alpy', 'Wysokie', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 0, 0, 0, 5, 6, 0]	pl	"""Saint-Maurice-en-Valgodemard"" – miejscowość i gmina we Francji, w regionie Prowansja-Alpy-Lazurowe Wybrzeże, w departamencie Alpy Wysokie."
['Odkrył', 'go', 'Friedrich', 'Georg', 'Wilhelm', 'Struve', 'w', '1825', 'roku', '.']	[0, 0, 1, 2, 2, 2, 0, 0, 0, 0]	pl	Odkrył go Friedrich Georg Wilhelm Struve w 1825 roku.
