tokens	ner_tags	text	tags	lang
['इस', 'समझौते', 'से', 'भारत', 'और', 'लिथुवानिया', 'के', 'लोगों', 'को', 'कर', 'स्थिरता', 'मिल', 'हो', 'पाएगी', 'और', 'दोनों', 'देशों', 'में', 'आपसी', 'आर्थिक', 'सहयोग', 'बढ़ाने', 'में', 'मदद', 'मिलेगी', '।']	[0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	इस समझौते से भारत और लिथुवानिया के लोगों को कर स्थिरता मिल हो पाएगी और दोनों देशों में आपसी आर्थिक सहयोग बढ़ाने में मदद मिलेगी ।	['O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['श्री', 'गडकरी', 'ने', 'स्टॉकहोम', 'में', 'अपने', 'प्रवास', 'के', 'दौरान', 'स्वीडन', 'के', 'बुनियादी', 'ढांचे', 'के', 'मंत्री', 'थॉमस', 'एनरॉथ', ',', 'विदेश', 'व्यापार', 'मंत्री', 'अन्ना', 'हॉलबर्ग', ',', 'व्यापार', ',', 'उद्योग', 'एवं', 'नवाचार', 'मंत्री', ',', 'इब्राहिम', 'बेलान', 'के', 'साथ', '-', 'साथ', 'सड़क', 'सुरक्षा', 'के', 'ब्रिटिश', 'मंत्री', 'बैरोनेस', 'वीरे', 'के', 'साथ', 'द्विपक्षीय', 'वार्ता', 'भी', 'करेंगे', '।']	[1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 1, 2, 2, 2, 2, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]	श्री गडकरी ने स्टॉकहोम में अपने प्रवास के दौरान स्वीडन के बुनियादी ढांचे के मंत्री थॉमस एनरॉथ, विदेश व्यापार मंत्री अन्ना हॉलबर्ग, व्यापार, उद्योग एवं नवाचार मंत्री, इब्राहिम बेलान के साथ- साथ सड़क सुरक्षा के ब्रिटिश मंत्री बैरोनेस वीरे के साथ द्विपक्षीय वार्ता भी करेंगे ।	['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
"['""', '""', '""', 'कोई', 'भी', 'क्रोधित', 'हो', 'सकता', 'है', '-', 'यह', 'आसान', 'है', ',', 'लेकिन', 'सही', 'व्यक्ति', 'से', 'सही', 'सीमा', 'में', 'सही', 'समय', 'पर', 'और', 'सही', 'उद्देश्य', 'के', 'साथ', 'सही', 'तरीके', 'से', 'क्रोधित', 'होना', 'सभी', 'के', 'बस', 'कि', 'बात', 'नहीं', 'है', 'और', 'यह', 'आसान', 'नहीं', 'है', '।', '""', '""', '~', 'अरस्तु', '""']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	""" "" "" कोई भी क्रोधित हो सकता है- यह आसान है, लेकिन सही व्यक्ति से सही सीमा में सही समय पर और सही उद्देश्य के साथ सही तरीके से क्रोधित होना सभी के बस कि बात नहीं है और यह आसान नहीं है । "" "" ~ अरस्तु """	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']	hi
['वह', 'बिहार', 'का', 'निवासी', 'है', '।']	[0, 5, 0, 0, 0, 0]	वह बिहार का निवासी है ।	['O', 'B-LOC', 'O', 'O', 'O', 'O']	hi
['न्यूजीलैंड', ':', 'केन', 'विलियमसन', '(', 'कप्तान', ')', ',', 'मार्टिन', 'गुप्टिल', ',', 'कोलिन', 'मुनरो', ',', 'रॉस', 'टेलर', ',', 'हेनरी', 'निकोलस', ',', 'टॉम', 'लाथम', '(', 'विकेटकीपर', ')', ',', 'ईश', 'सोढ़ी', ',', 'डग', 'ब्रैसवेल', ',', 'कोलिन', 'डी', 'ग्रांडहोम', ',', 'लोकी', 'फग्र्यूसन', 'और', 'ट्रैंट', 'बाउल्ट', '.']	[5, 0, 1, 2, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 1, 2, 0, 1, 2, 2, 0, 1, 2, 0, 1, 2, 0]	न्यूजीलैंड : केन विलियमसन ( कप्तान ), मार्टिन गुप्टिल, कोलिन मुनरो, रॉस टेलर, हेनरी निकोलस, टॉम लाथम ( विकेटकीपर ), ईश सोढ़ी, डग ब्रैसवेल, कोलिन डी ग्रांडहोम, लोकी फग्र्यूसन और ट्रैंट बाउल्ट.	['B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']	hi
['श्यूएनेमैन', 'कहते', 'हैं', 'कि', 'भालू', 'की', 'आबादी', 'दो', 'लंबे', 'ठंडे', 'दौर', 'और', 'कई', 'दूसरी', 'ठंडी', 'अवधि', 'के', 'दौरान', 'स्थिर', 'रही', '.']	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	श्यूएनेमैन कहते हैं कि भालू की आबादी दो लंबे ठंडे दौर और कई दूसरी ठंडी अवधि के दौरान स्थिर रही.	['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
['चेन्नई', 'सुपर', 'किंग्स', 'टीमः', 'एमएस', 'धोनी', '(', 'कप्तान', ')', ',', 'सुरेश', 'रैना', ',', 'मुरली', 'विजय', ',', 'अंबाती', 'रायुडू', ',', 'ध्रुव', 'शोरे', ',', 'फाफ', 'डु', 'प्लेसिस', ',', 'रुतुराज', 'गायकवाड़', ',', 'शेन', 'वॉटसन', ',', 'ड्वेन', 'ब्रावो', ',', 'केदार', 'जाधव', ',', 'रविंद्र', 'जडेजा', ',', 'मिशेल', 'सेंटनेर', ',', 'डेविड', 'विली', ',', 'सैम', 'बिलिंग्स', ',', 'एन', 'जगदीसन', ',', 'चैतन्य', 'बिश्नोई', ',', 'मोनू', 'कुमार', ',', 'हरभजन', 'सिंह', ',', 'कर्ण', 'शर्मा', ',', 'इमरान', 'ताहिर', ',', 'शार्दुल', 'ठाकुर', ',', 'दीपक', 'चाहर', ',', 'केएम', 'आसिफ', ',', 'मोहित', 'शर्मा', '.']	[3, 4, 4, 0, 1, 2, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 2, 2, 1, 2, 2, 0, 0, 1, 1, 2, 2, 1, 2, 2, 0, 0, 1, 2, 2, 1, 2, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 2, 0]	चेन्नई सुपर किंग्स टीमः एमएस धोनी ( कप्तान ), सुरेश रैना, मुरली विजय, अंबाती रायुडू, ध्रुव शोरे, फाफ डु प्लेसिस, रुतुराज गायकवाड़, शेन वॉटसन, ड्वेन ब्रावो, केदार जाधव, रविंद्र जडेजा, मिशेल सेंटनेर, डेविड विली, सैम बिलिंग्स, एन जगदीसन, चैतन्य बिश्नोई, मोनू कुमार, हरभजन सिंह, कर्ण शर्मा, इमरान ताहिर, शार्दुल ठाकुर, दीपक चाहर, केएम आसिफ, मोहित शर्मा.	['B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-PER', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']	hi
['2018', 'में', 'केरल', 'बाढ़', 'के', 'दौरान', 'समस्त', 'मानवीय', 'सहायता', 'एवं', 'आपदा', 'राहत', '(', 'एचएडीआर', ')', 'प्रयास', 'उनके', 'नेतृत्व', 'में', 'दक्षिणी', 'वायु', 'कमान', 'द्वारा', 'अंजाम', 'दिया', 'गया', '।']	[0, 0, 5, 0, 0, 0, 0, 3, 4, 4, 4, 4, 0, 3, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0]	2018 में केरल बाढ़ के दौरान समस्त मानवीय सहायता एवं आपदा राहत ( एचएडीआर ) प्रयास उनके नेतृत्व में दक्षिणी वायु कमान द्वारा अंजाम दिया गया ।	['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O']	hi
['घटना', 'बदायूं', 'के', 'वजीरगंज', 'थाना', 'क्षेत्र', 'के', 'बनकोटा', 'में', 'हुई', 'है', '।']	[0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]	घटना बदायूं के वजीरगंज थाना क्षेत्र के बनकोटा में हुई है ।	['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']	hi
['तीन', 'लोगों', 'की', 'मौके', 'पर', 'ही', 'मौत', '।']	[0, 0, 0, 0, 0, 0, 0, 0]	तीन लोगों की मौके पर ही मौत ।	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	hi
