tokens	ner_tags	lang	text
['TDI', '90', 'л.с.', 'Стандартный', 'бензиновый', 'двигатель', 'объёмом', '1,8', 'л', '.']	[7, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	TDI 90 л.с. Стандартный бензиновый двигатель объёмом 1,8 л.
['На', 'Мастерсе', 'в', 'Торонто', 'выходит', 'в', 'четвертьфинал', '.']	[0, 0, 0, 5, 0, 0, 0, 0]	ru	На Мастерсе в Торонто выходит в четвертьфинал.
['Использование', 'более', 'простого', 'и', 'запоминающегося', 'имени', 'вместо', 'числового', 'адреса', 'хоста', 'относится', 'к', 'эпохе', 'ARPANET', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]	ru	Использование более простого и запоминающегося имени вместо числового адреса хоста относится к эпохе ARPANET.
['Расчетная', 'сейсмичность', 'района', 'расположения', 'станции', 'составляет', '7', 'баллов', 'по', 'шкале', 'MSK-64', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]	ru	Расчетная сейсмичность района расположения станции составляет 7 баллов по шкале MSK-64.
['Расмуссен', 'представлял', 'сборную', 'США', 'на', 'молодёжном', 'чемпионате', 'мира', '1996', 'года', '.']	[0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0]	ru	Расмуссен представлял сборную США на молодёжном чемпионате мира 1996 года.
['Сторонники', 'Констанция', 'и', 'люди', ',', 'близко', 'к', 'нему', 'стоявшие', ',', 'подверглись', 'жестоким', 'преследованиям', 'и', 'карам', 'со', 'стороны', 'нового', 'императора', '.']	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	Сторонники Констанция и люди, близко к нему стоявшие, подверглись жестоким преследованиям и карам со стороны нового императора.
['Стал', 'самым', 'молодым', 'футболистом', ',', 'игравшим', 'за', 'сборную', 'Испании', 'на', 'чемпионатах', 'мира', '-', '19', 'лет', 'и', '41', 'день', '(', 'в', 'игре', 'с', 'Украиной', '14', 'июня', ')', '.']	[0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]	ru	Стал самым молодым футболистом, игравшим за сборную Испании на чемпионатах мира - 19 лет и 41 день (в игре с Украиной 14 июня).
['Корневища', 'используются', 'жителями', 'Зулуса', 'при', 'лихорадке', ',', 'а', 'также', ',', 'как', 'средство', 'уменьшающее', 'боль', 'от', 'укусов', 'ядовитых', 'змей', '.']	[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	Корневища используются жителями Зулуса при лихорадке, а также, как средство уменьшающее боль от укусов ядовитых змей.
['На', 'втором', 'для', 'них', 'этапе', ',', 'который', 'прошёл', 'в', 'Австрии', ',', 'пара', 'проиграла', 'оригинальный', 'танец', ',', 'но', 'благодаря', 'победе', 'в', 'обязательном', 'и', 'произвольном', 'они', 'победили', 'и', 'во', 'второй', 'раз', 'подряд', 'вышли', 'в', 'финал', 'юниорской', 'серии', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	На втором для них этапе, который прошёл в Австрии, пара проиграла оригинальный танец, но благодаря победе в обязательном и произвольном они победили и во второй раз подряд вышли в финал юниорской серии.
['В', '1996', 'году', 'появилась', 'мини-игра', 'про', 'Кирби', 'под', 'названием', '.']	[0, 0, 0, 0, 0, 0, 7, 0, 0, 0]	ru	В 1996 году появилась мини-игра про Кирби под названием.
['Первой', 'целью', 'на', 'этом', 'направлении', 'был', 'захват', 'Динабурга', ',', 'который', 'был', 'одним', 'из', 'главных', 'центров', 'польской', 'Ливонии', 'и', 'контролировал', 'пути', 'на', 'Ригу', '.']	[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0]	ru	Первой целью на этом направлении был захват Динабурга, который был одним из главных центров польской Ливонии и контролировал пути на Ригу.
['Один', 'регион', ',', 'Большой', 'Лондон', ',', 'имеет', 'свою', 'выборную', 'ассамблею', 'и', 'мэра', 'с', '2000', 'года', 'после', 'поддержки', 'этого', 'вопроса', 'на', 'референдуме', 'в', '1998', 'году', '.']	[0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	Один регион, Большой Лондон, имеет свою выборную ассамблею и мэра с 2000 года после поддержки этого вопроса на референдуме в 1998 году.
['В', 'начале', 'апреля', 'пара', 'продолжила', 'успешное', 'выступление', ',', 'выиграв', 'турнир', 'в', 'Чарлстоне', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	ru	В начале апреля пара продолжила успешное выступление, выиграв турнир в Чарлстоне.
['В', 'сборник', 'вошли', 'три', 'новых', 'трека', ',', 'среди', 'них', '«', 'Stand', 'Up', 'for', 'Love', '»', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0]	ru	В сборник вошли три новых трека, среди них « Stand Up for Love ».
['Всем', 'советским', 'военнослужащим', ',', 'техническому', 'персоналу', 'и', 'другим', 'сопровождавшим', '«', 'груз', '»', ',', 'выдали', 'лыжи', ',', 'а', 'также', 'говорили', ',', 'что', 'они', 'направляются', 'на', 'Чукотку', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	ru	Всем советским военнослужащим, техническому персоналу и другим сопровождавшим « груз », выдали лыжи, а также говорили, что они направляются на Чукотку.
['Был', 'похоронен', 'в', 'построенной', 'им', 'же', 'Ахена', '.']	[0, 0, 0, 0, 0, 0, 5, 0]	ru	Был похоронен в построенной им же Ахена.
"['""', 'Пло́че', '""', '(', ')', '-', 'город', 'в', 'Хорватии', ',', 'в', 'юго-восточной', 'части', 'страны', ',', 'в', 'жупании', 'Дубровник-Неретва', '.']"	[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]	ru	"""Пло́че"" () - город в Хорватии, в юго-восточной части страны, в жупании Дубровник-Неретва."
['Смерть', 'Ким', 'Ир', 'Сена', 'в', '1994', 'году', 'совпала', 'с', 'множеством', 'серьёзных', 'проблем', 'в', 'стране', ',', 'вызванных', 'большими', 'расходами', 'на', 'армию', '(', 'учитывая', 'развитие', 'ракетно-ядерной', 'программы', ')', ',', 'распадом', 'социалистического', 'лагеря', 'и', 'разрывом', 'традиционных', 'экономических', 'связей', '.']	[0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	Смерть Ким Ир Сена в 1994 году совпала с множеством серьёзных проблем в стране, вызванных большими расходами на армию (учитывая развитие ракетно-ядерной программы), распадом социалистического лагеря и разрывом традиционных экономических связей.
['Остров', 'принадлежит', 'Франции', 'с', '1897', 'г.', ',', 'но', 'Мадагаскар', 'считает', 'его', 'своим', 'на', 'основании', 'того', ',', 'что', 'остров', 'был', 'административно', 'отделен', 'от', 'французской', 'колонии', 'Мадагаскар', 'непосредственно', 'перед', 'провозглашением', 'независимости', '.']	[0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]	ru	Остров принадлежит Франции с 1897 г., но Мадагаскар считает его своим на основании того, что остров был административно отделен от французской колонии Мадагаскар непосредственно перед провозглашением независимости.
['Он', 'также', 'говорил', 'что', 'работает', 'над', 'именным', 'усилителем', 'с', 'Bogner', ',', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]	ru	Он также говорил что работает над именным усилителем с Bogner,.
['Тем', 'не', 'менее', ',', 'к', 'примеру', ',', 'не', 'является', 'он', 'и', 'сторонником', 'философско-натуралистической', 'эволюционной', 'теории', 'Ричарда', 'Докинза', ',', 'которого', 'Уилбер', 'описывает', 'как', '«', 'религиозного', 'проповедника', '»', '.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	ru	Тем не менее, к примеру, не является он и сторонником философско-натуралистической эволюционной теории Ричарда Докинза, которого Уилбер описывает как « религиозного проповедника ».
['Пять', 'раз', 'становился', 'лучшим', 'вратарём', 'Мексики', '.']	[0, 0, 0, 0, 0, 5, 0]	ru	Пять раз становился лучшим вратарём Мексики.
['На', 'территории', 'Арау', 'обнаружены', 'артефакты', 'неолитического', 'периода', ',', 'руины', 'поселения', 'бронзового', 'века', ',', 'остатки', 'римского', 'деревянного', 'моста', '.']	[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	На территории Арау обнаружены артефакты неолитического периода, руины поселения бронзового века, остатки римского деревянного моста.
['В', 'Иркутске', 'функционирует', '384', 'спортивных', 'сооружения', ',', 'из', 'них', '200', '-', 'муниципальных', '.']	[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	В Иркутске функционирует 384 спортивных сооружения, из них 200 - муниципальных.
['На', 'разведку', 'в', 'долину', 'Карнак', 'отправлена', 'специальная', 'группа', 'солдат', '.']	[0, 0, 0, 0, 5, 0, 0, 0, 0, 0]	ru	На разведку в долину Карнак отправлена специальная группа солдат.
['Азербайджан', 'стал', 'первой', 'мусульманской', 'страной', ',', 'предоставившей', 'женщинам', 'в', '1919', 'году', 'право', 'голоса', '.']	[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ru	Азербайджан стал первой мусульманской страной, предоставившей женщинам в 1919 году право голоса.
['В', 'апреле', 'он', 'выходит', 'в', 'полуфинал', 'в', 'Сан-Хосе', '.']	[0, 0, 0, 0, 0, 0, 0, 5, 0]	ru	В апреле он выходит в полуфинал в Сан-Хосе.
