tokens	pos_tags	chunk_tags	ner_tags	text	tags
['Arnaud', 'Boetsch', '(', 'France', ')', 'beat', 'Magnus', 'Gustafsson', '(', 'Sweden', ')', '7-6', '(', '8-', '6', ')', '6-3', '6-1']	[22, 22, 4, 22, 5, 37, 22, 22, 4, 22, 5, 11, 4, 11, 11, 5, 11, 16]	[11, 12, 0, 11, 0, 21, 11, 12, 0, 11, 0, 3, 0, 11, 12, 0, 11, 3]	[1, 2, 0, 5, 0, 0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]	Arnaud Boetsch (France) beat Magnus Gustafsson (Sweden) 7-6 (8- 6) 6-3 6-1	['B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Anytime', 'somebody', 'gets', 'the', 'opportunity', 'to', 'enter', 'the', 'next', 'era', 'with', 'such', 'a', 'big', 'bang', 'has', 'got', 'to', 'be', 'seen', 'as', 'a', 'strong', 'message', 'to', 'the', 'industry', '.', '""']"	[16, 21, 42, 12, 21, 35, 37, 12, 16, 21, 15, 16, 12, 16, 21, 42, 40, 35, 37, 40, 15, 12, 16, 21, 35, 12, 21, 7, 0]	[11, 12, 21, 11, 12, 21, 22, 11, 12, 12, 13, 11, 12, 12, 12, 21, 22, 22, 22, 22, 13, 11, 12, 12, 13, 11, 12, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"Anytime somebody gets the opportunity to enter the next era with such a big bang has got to be seen as a strong message to the industry . """	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Mass', '.']	[22, 7]	[11, 0]	[5, 0]	Mass.	['B-LOC', 'O']
"['Parma', ""'s"", 'defeat', 'was', 'a', 'repeat', 'of', 'last', 'season', ""'s"", 'fiasco', 'when', 'they', 'lost', 'their', 'opening', 'cup', 'match', '3-0', 'to', 'Palermo', '.']"	[22, 27, 21, 38, 12, 21, 15, 16, 21, 27, 21, 46, 28, 38, 29, 16, 21, 41, 11, 35, 22, 7]	[11, 11, 12, 21, 11, 12, 13, 11, 12, 11, 12, 3, 11, 21, 11, 12, 12, 21, 11, 13, 11, 0]	[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]	Parma's defeat was a repeat of last season's fiasco when they lost their opening cup match 3-0 to Palermo.	['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']
['In', 'the', 'meantime', ',', 'Taibe', 'will', 'play', 'all', 'their', 'heavily', 'policed', 'home', 'matches', 'at', 'the', 'Jewish', 'coastal', 'town', 'of', 'Netanya', '.']	[15, 12, 21, 6, 22, 20, 37, 12, 29, 30, 40, 21, 24, 15, 12, 16, 16, 21, 15, 22, 7]	[13, 11, 12, 0, 11, 21, 22, 11, 12, 12, 12, 12, 12, 13, 11, 12, 12, 12, 13, 11, 0]	[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 5, 0]	In the meantime, Taibe will play all their heavily policed home matches at the Jewish coastal town of Netanya.	['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'B-LOC', 'O']
['The', 'poll', 'indicated', 'a', 'fall', 'in', 'the', 'number', 'of', 'people', 'who', 'believed', 'Dole', 'would', 'be', 'able', 'to', 'fulfil', 'his', 'promise', 'to', 'cut', 'the', 'federal', 'budget', 'deficit', 'and', 'cut', 'income', 'taxes', 'by', '15', 'percent', 'at', 'the', 'same', 'time', '.']	[12, 21, 38, 12, 21, 15, 12, 21, 15, 24, 44, 38, 22, 20, 37, 16, 35, 37, 29, 21, 35, 37, 12, 16, 21, 21, 10, 38, 21, 24, 15, 11, 21, 15, 12, 16, 21, 7]	[11, 12, 21, 11, 12, 13, 11, 12, 13, 11, 11, 21, 11, 21, 22, 1, 21, 22, 11, 12, 21, 22, 11, 12, 12, 12, 0, 21, 11, 12, 13, 11, 12, 13, 11, 12, 12, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	The poll indicated a fall in the number of people who believed Dole would be able to fulfil his promise to cut the federal budget deficit and cut income taxes by 15 percent at the same time.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Eight', 'of', 'the', 'rebels', 'were', 'killed', 'in', 'Van', 'province', ',', 'five', 'in', 'Sirnak', 'and', 'four', 'in', 'Hakkari', '.']	[11, 15, 12, 24, 38, 40, 15, 22, 21, 6, 11, 15, 22, 10, 11, 15, 22, 7]	[11, 13, 11, 12, 21, 22, 13, 11, 12, 0, 11, 13, 11, 0, 11, 13, 11, 0]	[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0]	Eight of the rebels were killed in Van province, five in Sirnak and four in Hakkari.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-LOC', 'O']
['15.', 'Moldova', '8.24']	[11, 22, 11]	[11, 12, 12]	[0, 5, 0]	15. Moldova 8.24	['O', 'B-LOC', 'O']
['Ssangbangwool', '57', '2', '47', '.547', '6', '1/2']	[21, 11, 11, 11, 11, 11, 11]	[11, 12, 12, 12, 12, 12, 12]	[3, 0, 0, 0, 0, 0, 0]	Ssangbangwool 57 2 47 .547 6 1/2	['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']
['1.', 'Davis', 'Kamoga', '(', 'Uganda', ')', '45.15', 'seconds']	[11, 22, 22, 4, 22, 5, 11, 24]	[11, 12, 12, 0, 11, 0, 11, 12]	[0, 1, 2, 0, 5, 0, 0, 0]	1. Davis Kamoga (Uganda) 45.15 seconds	['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O']
