text	Aspect 1	Sentiment 1	Opinion 1	Opinion 2	Aspect 2	Sentiment 2	Aspect 3	Sentiment 3	Aspect 4	Sentiment 4	Opinion 3	Aspect 5	Sentiment 5	Aspect 6	Sentiment 6	Aspect 7	Sentiment 7	Opinion 4	Opinion 5	Aspect 8	Sentiment 8	Opinion 6	Opinion 7	Aspect 9	Sentiment 9	raw_text
but the staff was so horrible to us	staff	negative	horrible																							but the staff was so horrible to us
to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora	food	positive	redeeming	above average																						to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora
the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not	food	positive	exceptional	capable	kitchen	positive	menu	neutral																		the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not
for those that go once and don't enjoy it, all i can say is that they just don't get it			enjoy																							for those that go once and do n't enjoy it , all i can say is that they just do n't get it
not only was the food outstanding, but the little' perks' were great	food	positive	outstanding		perks	positive																				not only was the food outstanding , but the little ' perks ' were great
it is very overpriced and not very tasty			overpriced																							it is very overpriced and not very tasty
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats)	orrechiete with sausage and chicken	positive	favorite	kind	waiters	positive	dish	neutral	meats	neutral																our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats )
the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy	bagels	positive	outstanding	terrific							chewy															the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy
nevertheless the food itself is pretty good	food	positive																								nevertheless the food itself is pretty good
i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played	songs	neutral																								i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese songs , black sabbath , jay-z , and daft punk all being played
they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it	mayonnaise	negative	forgot	left out	toast	negative	ingredients	negative	cheese	neutral	over cooked	omelet	neutral	bacon	negative	plate	neutral									they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it
it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	check	neutral			drinks	neutral																				it took half an hour to get our check , which was perfect since we could sit , have drinks and talk !
the design and atmosphere is just as good	design	positive			atmosphere	positive																				the design and atmosphere is just as good
the pizza is the best if you like thin crusted pizza	pizza	positive	best	like	thin crusted pizza	neutral																				the pizza is the best if you like thin crusted pizza
my girlfriend and i stumbled onto this hopping place the other night and had a great time!			great																							my girlfriend and i stumbled onto this hopping place the other night and had a great time !
it is definitely special and affordable			special																							it is definitely special and affordable
i really liked this place			liked																							i really liked this place
all the money went into the interior decoration, none of it went to the chefs	interior decoration	positive																								all the money went into the interior decoration , none of it went to the chefs
the seats are uncomfortable if you are sitting against the wall on wooden benches	seats	negative	uncomfortable																							the seats are uncomfortable if you are sitting against the wall on wooden benches
i asked for seltzer with lime, no ice	seltzer with lime	neutral																								i asked for seltzer with lime , no ice
it was pretty inexpensive too			inexpensive																							it was pretty inexpensive too
